paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,score_scale,condition_name,element_name,is_interaction,participant_per_element,totalSP,totalINV,totalREAL,totalGP,totalTOTAL,meanSP,meanINV,meanREAL,meanGP,meanTOTAL,sdSP,sdINV,sdREAL,sdGP,sdTOTAL,otherSP,otherINV,otherREAL,otherGP,otherTOTAL,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display,likert_scale,rating_scale,file,standard_total_17
26,27,27,Poster: Design and evaluation of 3D content with wind output,,12,11,3,21,31,,,3D Graphics - Monoscopic,Unknown,Interaction techniques,,Not Mentioned,Not Sure,,,1,Study 1,15,12,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,ANOVA;TTest,,,2,17,Whole Experiment,Whole Study,No,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,A Lehmann; C Geiger; B Woldecke�,2009,2009 IEEE Symposium��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4811231/,https://scholar.google.com/scholar?cites=18289119672183896209&as_sdt=2005&sciodt=0;5&hl=en,16,43628,,,,,,,,,11,1.1,3,4,10,YES,,CORRECTED: Overall Presence to GP (Confused Presence),0.8500001,0.060714286,TRUE,1.3833333,1.7999998,-2.3333333,0.21999998,0.27666667,0.44999996,-0.5833333,0.21999998,3D Graphics - Monoscopic,7-point,Fair,Each Study,56.8500001
27,28,28,Representation of patients' hand modulates fear reactions of patients with spider phobia in virtual reality,virtual reality; presence; immersion; perception; fear; specific phobia,64,,,,,,,3D Graphics - HMD VR,Unknown,Healthcare and clinical therapies;Social Science and psychology,Phobia,Not Mentioned,Not Sure,,,1,Study 1,47,64,0/,32/,18/,30/,22.75/,2.72,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,4,6,Whole Experiment,Whole Study,No,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,HM Peperkorn; JE Diemer; GW Alpers�,2016,Frontiers in��,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fpsyg.2016.00268,https://scholar.google.com/scholar?cites=4840287585176633007&as_sdt=2005&sciodt=0;5&hl=en,87,43628,HTML,,,,,,,,10,3.33,3,4,3,YES,,,-2.6375,-0.18839286,TRUE,1.5625,-3.04,-1.16,0.5175,0.3125,-0.76,-0.29,0.5175,3D Graphics - HMD VR,7-point,Fair,Each Study,53.3625
28,29,29,Olfactory stimuli increase presence in virtual environments,,60,39,21,18,31,20.48,3.13,3D Graphics - HMD VR,Stereo sound,Healthcare and clinical therapies;Social Science and psychology,Exposure Therapy,Not Mentioned,Not Sure,,,1,Study 1,,60,,,,,,,between-subject,whole questionnaire,/Mean/SD/,Chart,After,No, Bonferroni corrected Linear Mixed Model,,,4,17,Whole Experiment,Whole Study,No,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,BG Munyan III; SM Neer; DC Beidel; F Jentsch,2016,PloS one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0157568,https://scholar.google.com/scholar?cites=5508198333547713137&as_sdt=2005&sciodt=0;5&hl=en,143,43628,HTML,,,,,,,,10,3.33,3,4,3,YES,,Unknown Scale,4.4625,0.31875,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,60.4625
29,30,30,Influence of peripheral and stereoscopic vision on driving performance in a power wheelchair simulator system,human-computer interaction; assessment; mobility; virtual environments; projection environments ,24,21,3,19,31,23.71,,Projection Display,No sound,Social Science and psychology,,English,Not Sure,,,1,Study 1,,24,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,TTest,,,2,-33,Whole Experiment,Whole Study,No,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,A Alshaer; S Hoermann�,2013,��Conference on Virtual��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6662066/,https://scholar.google.com/scholar?cites=15503571753222875876&as_sdt=2005&sciodt=0;5&hl=en,224,43628,,,,,,,,,10,1.67,3,3,6,YES,,,4.6666665,0.33333334,FALSE,911,911,911,911,911,911,911,911,Projection Display,7-point,Fair,Each Study,60.6666665
30,31,31,Virtual training environments to improve train driver's crisis decision making, ,12,12,0,28,56,47.1,8.31,Other,Unknown,Education and training;Social Science and psychology,,Other,Yes,,,1,Study 1,,12,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,TTest,,,2,6,Whole Experiment,Whole Study,No,12,,,,,50.7,,,,,,,,,,14.7,,,,,,10,J Tichon; G Wallis; T Mildred,2006,,eprints.qut.edu.au,https://eprints.qut.edu.au/123283/,https://scholar.google.com/scholar?cites=11682706436147653620&as_sdt=2005&sciodt=0;5&hl=en,81,43628,,,,,,,,,10,0.77,3,3,13,YES,,,8.7,0.62142855,FALSE,911,911,911,911,911,911,911,911,Projection Display,7-point,Good,Each Study,64.7
31,32,32,Effects of context preexposure and delay until anxiety retrieval on generalization of contextual anxiety,,83,41,42,,,,,3D Graphics - HMD VR,Unknown,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,83,83,12/10/11/9,11/9/9/12,,,23.61/23.37/22.10/23.76,3.49/2.52/3.52/3.78,between-subject,whole questionnaire,/Mean/SD/,Other,After;After,No,ANOVA,,,4,-33,Whole Experiment,Whole Study,No,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,M Andreatta; D Neueder�,2017,Learning &��,learnmem.cshlp.org,http://learnmem.cshlp.org/content/24/1/43.short,https://scholar.google.com/scholar?cites=9154330212840674525&as_sdt=2005&sciodt=0;5&hl=en,210,43628,,,,,,,,,9,4.5,3,3,2,YES,,,-1.17,-0.08357143,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,54.83
32,33,33,Interactive and passive virtual reality distraction: effects on presence and pain intensity.,Virtual Reality Distraction; Presence; Interaction; Pain Intensity,68,16,52,19,36,21.8,4.3,Projection Display,Unknown,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,68,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,TTest,,,2,6,Whole Experiment,Whole Study,No,68,,,,,,,,,,3.1,,,,,1.1,,,,,,9,J Gutierrez-Maldonado; O Gutierrez-Martinez�,2011,,researchgate.net,https://www.researchgate.net/profile/Brenda_Wiederhold/publication/316495448_Annual_Review_of_CyberTherapy_and_Telemedicine_Evidence-Based_Clinical_Applications_of_Information_Technology/links/590a531aaca272f6580b6f6c/Annual-Review-of-CyberTherapy-and-Telemedicine-Evidence-Based-Clinical-Applications-of-Information-Technology.pdf#page=66,https://scholar.google.com/scholar?cites=10823446991686916754&as_sdt=2005&sciodt=0;5&hl=en,159,43628,PDF,,,,,,,,9,1.13,3,3,8,YES,,,1.4,0.1,FALSE,911,911,911,911,911,911,911,911,Projection Display,7-point,Fair,Each Study,57.4
33,34,34,Reinstatement of contextual anxiety in humans: Effects of state anxiety,Reinstatement; Context conditioning; State anxiety; Fear-potentiated startle; Ratings,42,20,22,,,,,Other,Unknown,Healthcare and clinical therapies;Social Science and psychology,Anxiety,Not Mentioned,Not Sure,,,1,Study 1,,42,11-Sep,10-Dec,,,24.05/23.62,2.85/2.97,between-subject,whole questionnaire,/Mean/SD/,Other,After,No,ANOVA,,,2,-33,Whole Experiment,Whole Study,No,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,E Glotzbach-Schoon; M Andreatta; A M�hlberger�,2015,International Journal of��,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167876015300167,https://scholar.google.com/scholar?cites=15035158030394626113&as_sdt=2005&sciodt=0;5&hl=en,118,43628,,,,,,,,,7,1.75,2,4,4,YES,Anxiety,Unknown Scale,-1.365,-0.0975,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,54.635
34,35,35,Home-based virtual reality exposure therapy with virtual health agent support,Virtual reality therapy; Virtual coach; Virtual health agent; Behaviour change support system; Social anxiety disorder; Self-therapy,5,2,3,38,64,49,10.63,3D Graphics - HMD VR,Unknown,Healthcare and clinical therapies;Social Science and psychology,Exposure Therapy,Not Mentioned,Not Sure,,,1,Study 1,,5,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,TTest,,,2,6,Whole Experiment,Whole Study,No,5,,,,,60.4,,,,,,,,,,4.51,,,,,,7,D Hartanto; WP Brinkman; IL Kampmann�,2015,��on Pervasive Computing��,Springer,https://link.springer.com/chapter/10.1007/978-3-319-32270-4_9,https://scholar.google.com/scholar?cites=1393493671324015636&as_sdt=2005&sciodt=0;5&hl=en,196,43628,,,,,,,,,7,1.75,2,4,4,YES,Exposure Therapy,Unknown Scale,18.4,1.3142858,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Good,Each Study,74.4
35,36,36,Utilization of Second Life as a tool for spatial learning in interior architecture,Virtual environments; second life; navigation; spatial learning,90,45,45,,,,,3D Graphics - Monoscopic,Unknown,Education and training;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,90,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,,,,2,17,Whole Experiment,Whole Study,No,90,,,,,,4.69,3.74,3.53,5.37,,0.85,1.1,0.76,1.13,,,,,,,6,? Memiko?lu,2014,Procedia-Social and Behavioral Sciences,Elsevier,https://www.sciencedirect.com/science/article/pii/S1877042814004017,https://scholar.google.com/scholar?cites=1343355019175368824&as_sdt=2005&sciodt=0;5&hl=en,157,43628,,,,,,,,,6,1.2,6,1,5,YES,Navigation,,0.53,0.03785714,TRUE,3.45,-1.04,-1.88,1.37,0.69,-0.26,-0.47,1.37,3D Graphics - Monoscopic,7-point,Fair,Each Study,56.53
36,37,37,Deficits in episodic memory and mental time travel in patients with post-traumatic stress disorder,PTSD; Episodic memory; What-where-when task; Mental time travel; Virtual reality; Anxiety; Stressor-related disorders,42,8,34,,,,,3D Graphics - Monoscopic,Unknown,Healthcare and clinical therapies,Post-traumatic stress disorder,Not Mentioned,Not Sure,,,1,Study 1,13,42,4-Apr,17/17,18/18,55/53,34.6/34.2,11.9/11.8,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,2,6,Whole Experiment,Whole Study,No,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A Zlomuzica; ML Woud; A Machulska; K Kleimt�,2018,cog.psy.ruhr-uni-bochum.de,,http://www.cog.psy.ruhr-uni-bochum.de/papers/2018/Zlomuzica_PTSDMentalTimeTravel_PNPBP(2018).pdf,,175,43628,PDF,,,,,,,,0,0,0,5,,YES,,,-10.85,-0.775,TRUE,-2.65,-2,-5.5,-0.7,-0.53,-0.5,-1.375,-0.7,3D Graphics - Monoscopic,7-point,Poor,Each Study,45.15
37,38,38,Experimental variation of social stress in virtual reality – feasibility and first results in patients with psychotic disorders,Immersive virtual environment; VR; Schizophrenia; Paranoia; n-back; Presence,41,,,18,65,,,3D Graphics - HMD VR,Unknown,Healthcare and clinical therapies,,Not Mentioned,Not Sure,,,1,Study 1,,41,,,,,,,between-subject,whole questionnaire,/Mean/SD/,Other,Unknown,No,ANOVA,,,2,6,Whole Experiment,Whole Study,No,41,,,,,40,,,,,,,,,,,,,,,2.1,5,K Hesse; PA Schroeder; J Scheeff; S Klingberg�,2017,Journal of behavior��,Elsevier,https://www.sciencedirect.com/science/article/pii/S0005791616301239,https://scholar.google.com/scholar?cites=2769102969623394812&as_sdt=2005&sciodt=0;5&hl=en,98,43628,,,,,,,,,5,2.5,1,5,2,YES,Presence,,-2,-0.14285715,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,54
38,39,39,Social presence and mode of Videocommunication in a Collaborative Virtual Environment., Virtual Reality; Human-Computer Interface; Videoconferencing,50,25,25,,,,,3D Graphics - Monoscopic;3D Graphics - HMD VR,Stereo sound,Social Science and psychology,Presence,Not Mentioned,Not Sure,,,1,Study 1,,50,16/14,9-Nov,18/18,32/33,20.44/21.36,2.87/3.61,between-subject,whole questionnaire,/Mean/SD/,Other,After,No,ANOVA,,,4,-33,Whole Experiment,Whole Study,No,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,M Alghamdi; H Regenbrecht; S Hoermann�,2016,�,repository.ittelkom-pwt.ac.id,http://repository.ittelkom-pwt.ac.id/4570/1/SOCIAL%20PRESENCE%20AND%20MODE%20OF%20VIDEOCOMMUNICATION%20IN%20A%20COLLABORATIVE.pdf,https://scholar.google.com/scholar?cites=10948905331000067509&as_sdt=2005&sciodt=0;5&hl=en,156,43628,PDF,,,,,,,,5,1.67,1,4,3,YES,Social Presence,Unknown Scale,6.125,0.4375,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,62.125
39,40,40,The feasibility; acceptability and preliminary efficacy of a low-cost; virtual-reality based; upper-limb strFaire rehabilitation device: a mixed methods study,Gaming technologies; strFaire rehabilitation; technology; game-based rehabilitation; hemiplegia; virtual reality,11,3,8,48,68,58,7.5,Other,Unknown,Healthcare and clinical therapies,,Not Mentioned,Not Sure,,,1,Study 1,,11,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,,,,2,6,Whole Experiment,Whole Study,No,11,,,,,32.25,,,,,,,,,,21.5,,,,,,4,A Warland; I Paraskevopoulos�,2018,Disability and��,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/09638288.2018.1459881,https://scholar.google.com/scholar?cites=2274597370464944570&as_sdt=2005&sciodt=0;5&hl=en,262,43628,,,,,,,,,4,4,1,3,1,YES,,85 (with a higher score indicating greater sense of immersion),-9.75,-0.6964286,FALSE,911,911,911,911,911,911,911,911,3D Graphics - Monoscopic,7-point,Poor,Each Study,46.25
40,41,41,Self-transforming controllers for virtual reality first person shooters,Virtual reality controller; shape-changing interfaces; authentic input device; first-person shooter,29,22,7,19,64,26.14,8.56,3D Graphics - HMD VR,Unknown,Interaction techniques,,Not Mentioned,Not Sure,,,1,Study 1,4,29,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,2,6,Whole Experiment,Whole Study,No,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,A Krekhov; K Emmerich; P Bergmann�,2017,Proceedings of the��,dl.acm.org,https://dl.acm.org/citation.cfm?id=3116615,https://scholar.google.com/scholar?cites=144676039135128325&as_sdt=2005&sciodt=0;5&hl=en,193,43628,,,,,,,,,4,2,1,4,2,YES,Controller,,7.54,0.5385714,TRUE,5.8,3.86,-2.12,1.395,1.16,0.965,-0.53,1.395,3D Graphics - HMD VR,7-point,Good,Each Study,63.54
41,42,42,GulliVR: A walking-oriented technique for navigation in virtual reality games based on virtual body resizing,Virtual reality games; navigation; physical walking; presence; virtual body size; miniature world,30,15,15,,,27.6,11.18,3D Graphics - HMD VR,Unknown,Interaction techniques,Navigation,Not Mentioned,Not Sure,,45,1,Study 1,,30,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,TTest; Levene’s and Kolmogorov-Smirnov tests;  MannWhitney U tests,,,2,6,Whole Experiment,Whole Study,No,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,A Krekhov; S Cmentowski; K Emmerich�,2018,Proceedings of the��,dl.acm.org,https://dl.acm.org/citation.cfm?id=3242704,https://scholar.google.com/scholar?cites=7527593946888583397&as_sdt=2005&sciodt=0;5&hl=en,259,43628,,,,,,,,,3,3,1,4,1,YES,Navigation,,0.945,0.0675,TRUE,2.625,0.9800001,-2.66,0.7,0.525,0.24500002,-0.665,0.7,3D Graphics - HMD VR,7-point,Fair,Each Study,56.945
42,43,43,Delay compensation for a telepresence system with 3d 360 degree vision based on deep head motion prediction and dynamic fov adaptation,3D vision; telepresence; virtual reality; remote reality; omnidirectional vision,13,9,4,,,25.38,5.18,3D Graphics - HMD VR,Unknown,Interaction techniques;Social Science and psychology,Telepresence,Not Mentioned,Not Sure,,,1,Study 1,0.75,13,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,ANOVA,,,2,6,Whole Experiment,Whole Study,No,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,T Aykut; M Karimi; C Burgmair�,2018,IEEE Robotics and��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8429079/,https://scholar.google.com/scholar?cites=8422483897848827086&as_sdt=2005&sciodt=0;5&hl=en,309,43628,,,,,,,,,3,3,1,4,1,YES,Telepresence,,-1.4766667,-0.10547619,TRUE,-0.4066667,0.08833333,-1.1416667,-0.016666668,-0.08133333,0.022083333,-0.28541666,-0.016666668,3D Graphics - HMD VR,7-point,Fair,Each Study,54.5233333
43,44,44,Lost in space: multisensory conflict yields adaptation in spatial representations across frames of reference,Spatial perception; Peripersonal space; Multisensory integration; Multisensory conflict; Virtual reality,21,,,,,,,3D Graphics - HMD VR,Unknown,Social Science and psychology,Spatial perception,Not Mentioned,Not Sure,,60,1,Study 1,,21,,,,,,,within-subject,combine gp to sp,/Mean/SD/,Chart,After;After,No,TTest,,,2,6,Whole Experiment,Whole Study,No,21,,,,,,4.03,2.58,2,,,0.15,0.22,0.21,,,,,,,,3,J Lohmann; MV Butz,2017,Cognitive processing,Springer,https://link.springer.com/article/10.1007/s10339-017-0798-5,https://scholar.google.com/scholar?cites=7041676184064604948&as_sdt=2005&sciodt=0;5&hl=en,133,43628,HTML,,,,,,,,3,1.5,2,2,2,YES,Spatial perception,Combine GP to SP,0.5,0.035714287,FALSE,911,-1.68,-4,911,1.03,-0.42,-1,911,3D Graphics - HMD VR,7-point,Fair,Each Study,56.5
44,45,45,Effects of personal relevance and simulated darkness on the affective appraisal of a virtual environment,Affective appraisal; Virtual environment; Fear of darkness; Emotion; Personal relevance,72,0,72,12,32,22.2,2.9,3D Graphics - Monoscopic,Unknown,Healthcare and clinical therapies;Social Science and psychology,Fear of darkness,Not Mentioned,Not Sure,,,1,Study 1,10,72,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,4,-33,Whole Experiment,Whole Study,No,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,A Toet; JM Houtkamp; PE Vreugdenhil,2016,PeerJ,peerj.com,https://peerj.com/articles/1743/?utm_source=TrendMD&utm_campaign=PeerJ_TrendMD_1&utm_medium=TrendMD,https://scholar.google.com/scholar?cites=2623486685510651979&as_sdt=2005&sciodt=0;5&hl=en,199,43628,HTML,,,,,,,,3,1,1,3,3,YES,Fear,Unknown Scale,4.225,0.3017857,TRUE,3.1916666,1.9333333,-0.8999999,0.90333337,0.6383333,0.48333332,-0.22499998,0.90333337,3D Graphics - Monoscopic,7-point,Fair,Each Study,60.225
45,46,46,Cognitive processing and regulation modulates analogue trauma symptoms in a Virtual Reality paradigm,Stress; Cognitive processing; Emotional response; Cognitive regulation; Appraisals; Emotion regulation; Intrusive memories; Analogue trauma; Virtual Reality,80,17,63,,,21.73,2.32,3D Graphics - HMD VR,Stereo sound,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,80,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,,,,2,6,Whole Experiment,Whole Study,No,80,,,,,,4.2,4.09,4.03,4.49,,0.71,0.5,0.74,1.35,,,,,,,2,T Schweizer; F Renner; D Sun; C Becker-Asano�,2019,Cognitive Therapy and��,Springer,https://link.springer.com/article/10.1007/s10608-018-9967-9,https://scholar.google.com/scholar?cites=10295130251723094259&as_sdt=2005&sciodt=0;5&hl=en,160,43628,HTML,,,,,,,,2,2,0,5,1,YES,Trauma,,14.479999,1.0342857,TRUE,6,4.36,4.12,1.49,1.2,1.09,1.03,1.49,3D Graphics - HMD VR,7-point,Good,Each Study,70.479999
46,47,47,Optimized HMD System for Underwater VR Experience,Head-mounted display (HMD); Virtual reality; Wearable devices,6,6,0,18,22,,,3D Graphics - HMD VR,Unknown,Entertainment and game;Interaction techniques;Other,,Not Mentioned,Not Sure,,,1,Study 1,,6,,,,,,,within-subject,each component,/Mean/SD/,Other,Unknown,No,,,,2,6,Whole Experiment,Whole Study,No,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,H Osone; T Yoshida; Y Ochiai,2017,International Conference on Advances in …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-76270-8_31,https://scholar.google.com/scholar?cites=12221140667045943805&as_sdt=2005&sciodt=0;5&hl=en,333,43676,,,,,,,,,4,2,1,3,,DUPLICATED,,,0.63,0.045,TRUE,0.175,0.43999997,0.2,-0.185,0.035,0.10999999,0.05,-0.185,3D Graphics - HMD VR,7-point,Fair,Each Study,56.63
47,48,48,Mild stress stimuli built into a non-immersive virtual environment can elicit actual stress responses,Virtual Reality; stress; virtual stimuli; exposure; sense of presence,54,20,34,18,62,28.67,9.85,3D Graphics - HMD VR,Unknown,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,45,1,Study 1,7,54,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,TTest;Pearson correlation,,,2,-33,Whole Experiment,Whole Study,No,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,M Alghamdi; H Regenbrecht; S Hoermann�,2017,Behaviour &��,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/0144929X.2017.1311374,https://scholar.google.com/scholar?cites=5673953657968987402&as_sdt=2005&sciodt=0;5&hl=en,270,43628,,,,,,,,,2,1,1,4,2,YES,Stress,,10.08,0.72,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Good,Each Study,66.08
48,49,49,Challenging gender differences in physical presence: Affective states; spatial abilities and presence in a relaxing virtual park,Physical Presence; Virtual Environment; Gender Difference; Spatial Ability,28,14,14,,,26.29/23.93,3.791/2.895,3D Graphics - HMD VR,Unknown,Social Science and psychology,Physical Presence,Not Mentioned,Not Sure,,,1,Study 1,5,28,14,14,,,,,between-subject,each component,/Mean//Other,Chart,Unknown,No,TTest,,,2,6,Whole Experiment,Whole Study,No,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,A Felnhofer; T Hetterle; M Schmidt�,2014,��Presence��,researchgate.net,https://www.researchgate.net/profile/Anna_Felnhofer/publication/259632793_Challenging_gender_differences_in_physical_presence_Affective_states_spatial_abilities_and_presence_in_a_relaxing_virtual_park/links/00b4952cfaf0f131a3000000/Challenging-gender-differences-in-physical-presence-Affective-states-spatial-abilities-and-presence-in-a-relaxing-virtual-park.pdf,https://scholar.google.com/scholar?cites=12437203463310300111&as_sdt=2005&sciodt=0;5&hl=en,23,43628,PDF,,,,,,,,2,0.4,1,4,5,YES,Physical Presence,Unknown Scale,8.325,0.59464294,TRUE,2.9600003,5.585,-0.37999997,0.16,0.592,1.39625,-0.09499999,0.16,3D Graphics - HMD VR,7-point,Good,Each Study,64.325
49,50,50,Evaluation of FlowVR: a virtual reality game for improvement of depressive mood,virtual reality; depression; mood; therapy; flow,18,9,9,18,55,25.9,10.5,3D Graphics - Monoscopic;3D Graphics - HMD VR,No sound,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,5.83,18,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Shapiro-Wilk test; Wilcoxon-Mann-Whitney-Test; Friedman-Test,,,2,6,Whole Experiment,Whole Study,No,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,L Bittner; F Mostajeran; F Steinicke; J Gallinat; S K�hn,2018,bioRxiv,biorxiv.org,https://www.biorxiv.org/content/10.1101/451245v1.abstract,https://scholar.google.com/scholar?cites=9197651944647077710&as_sdt=2005&sciodt=0;5&hl=en,85,43628,,,,,,,,,1,1,0,5,1,YES,Therapy,,-4.806667,-0.34333333,TRUE,-0.11666666,-0.25333333,-4.306667,-0.07333333,-0.023333333,-0.06333333,-1.0766667,-0.07333333,3D Graphics - HMD VR,7-point,Fair,Each Study,51.193333
50,51,51,The Effect of Haptic Prediction Accuracy on Presence,,56,21,35,18,27,20.32,1.71,3D Graphics - HMD VR,Unknown,Social Science and psychology;Other,Haptic,Not Mentioned,Not Sure,,,1,Study 1,5.42,56,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,Shapiro-Wilk normality test,,,2,-33,Whole Experiment,Whole Study,No,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D Gall; ME Latoschik,2018,��IEEE Conference on Virtual Reality and��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8446153/,https://scholar.google.com/scholar?cites=17569544626198375561&as_sdt=2005&sciodt=0;5&hl=en,164,43628,,,,,,,,,1,1,1,2,1,YES,Haptic,,20.515,1.4653572,TRUE,9.975,5.54,5,0.66,1.995,1.385,1.25,0.66,3D Graphics - HMD VR,7-point,Good,Each Study,76.515
51,52,52,How deep is your SNARC? Interactions between numerical magnitude; response hands; and reachability in peripersonal space,SNARC effect; theory of magnitude; embodied numerical cognition; virtual reality; motion capture,32,9-Jun,7-Oct,19/19,30/29,22.3/22.0,2.8/2.8,3D Graphics - HMD VR,Unknown,Education and training;Social Science and psychology,,Not Mentioned,Not Sure,,90-120,1,Study 1,,32,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,TTest;Pearson correlation ,,,2,6,Whole Experiment,Whole Study,No,32,,,,,,4.18,2.51,2.3,,2.99,,,,,,0.13,0.2,0.14,,0.13,1,J Lohmann; PA Schroeder; HC Nuerk�,2018,Frontiers in��,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fpsyg.2018.00622/abstract,https://scholar.google.com/scholar?cites=11702033105816953080&as_sdt=2005&sciodt=0;5&hl=en,170,43628,,,,,,,,,1,1,0,4,1,YES,Learning,,-0.14,-0.01,TRUE,5.9,-1.96,-2.8,-1.28,1.18,-0.49,-0.7,-1.28,3D Graphics - HMD VR,7-point,Fair,Each Study,55.86
