paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,score_scale,condition_name,element_name,is_interaction,participant_per_element,totalSP,totalINV,totalREAL,totalGP,totalTOTAL,meanSP,meanINV,meanREAL,meanGP,meanTOTAL,sdSP,sdINV,sdREAL,sdGP,sdTOTAL,otherSP,otherINV,otherREAL,otherGP,otherTOTAL,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display
116,124,294,Distraction of attention with the use of virtual reality. Influence of the level of game complexity on the level of experienced pain,"Virtual Reality, Pain, Attention distraction, Cold Pressor Test, Video games",31,12,19,20/19,24/30,22.42/21.37,1.51/2.34,3D Graphics - HMD VR,Stereo sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,4,31,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Parametric statistics,,,4,-33,GroupxVR,Pain SensitivexLow Complexity,Yes,31,,,,,,0.03,-0.5,-1.23,0.58,,1.05,1.15,1.02,1.77,,,,,,,3,J Piskorz; M Czub,2014,Polish Psychological Bulletin,degruyter.com,https://www.degruyter.com/downloadpdf/j/ppb.2014.45.issue-4/ppb-2014-0058/ppb-2014-0058.xml,https://scholar.google.com/scholar?cites=8909671389347806897&as_sdt=2005&sciodt=0;5&hl=en,175,43676,PDF,,,,,,,,3,0.6,2,2,,YES,Pain,,-6.77,-0.483571429,TRUE,0.15,-2,-4.92,0.58,0.03,-0.5,-1.23,0.58,3D Graphics - HMD VR
22,23,54,Powered wheelchair simulator development: implementing combined navigation-reaching tasks with a 3D hand motion controller,"Virtual reality, Powered wheelchair, Training, Reaching, Navigation, Rehabilitation",12,8,4,36,60,50.1,9.1,"3D Graphics - Monoscopic,Other",Unknown,"Interaction techniques,Social Science and psychology",Virtual reality,Not Mentioned,Not Sure,,,1,Study 1,15,12,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,TTest,,,1,6,3D Hand Cotroller,Without,No,12,,,,,,3.034,2.46,2.57,3.57,,1.303,0.78,0.67,1.34,,,,,,,17,G Tao; PS Archambault,2016,Journal of��,jneuroengrehab.biomedcentral.com,https://jneuroengrehab.biomedcentral.com/articles/10.1186/s12984-016-0112-2,https://scholar.google.com/scholar?cites=17314908123693819291&as_sdt=2005&sciodt=0;5&hl=en,203,43628,HTML,,,,,,,,17,5.67,9,2,3,YES,Interaction,,-3.71,-0.265,TRUE,0.17,-2.16,-1.72,0.57,0.034,-0.54,-0.43,0.57,3D Graphics - Monoscopic
124,132,315,User virtual costume visualisation in an augmented virtuality immersive cinematic environment,"Augmented Virtuality, 360 movie, virtual costume",24,,12,133,52,32.4,8.6,3D Graphics - HMD VR,Unknown,"Design and visualization,Entertainment and game,Social Science and psychology",,Not Mentioned,Not Sure,,40,1,Study 1,,24,,,,,,,within-subject,each component,/Mean//,Other,After,No,Friedman tests,Wilcoxon Signed Rank tests with a Bonferroni correction,,2,6,Condition,A,No,24,,,,,,3.034,3.214,2.562,2.724,,,,,,,,,,,,0,W Tang; GA Lee; M Billinghurst…,2018,Proceedings of the 30th …,dl.acm.org,https://dl.acm.org/citation.cfm?id=3292188,,294,43676,,,,,,,,,0,0,0,4,,YES,Augmented Virtuality,,-0.726,-0.051857143,TRUE,0.17,0.856,-1.752,-0.276,0.034,0.214,-0.438,-0.276,3D Graphics - HMD VR
64,65,163,"Physical Presence, Social Presence, and Anxiety in Participants with Social Anxiety Disorder During Virtual Cue Exposure","virtual reality exposure therapy, social anxiety disorder, physical presence, social presence, state anxiety, heart rate",24,,17,,,,,3D Graphics - HMD VR,Unknown,"Healthcare and clinical therapies,Social Science and psychology",,German,Not Sure,,15,1,Study 1,5,24,,9-Aug,,,22.83/24.08,1.749/2.539,between-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,17,Group,Control,No,12,20.2,17.1,13.7,3.6,,,,,,,6.887,1.676,2.229,1.832,,,,,,,0,A Felnhofer; H Hlavacs; L Beutl�,2019,��; Behavior; and Social��,liebertpub.com,https://www.liebertpub.com/doi/abs/10.1089/cyber.2018.0221,,113,43628,,,,,,,,,0,0,0,4,1,YES,Exposure Therapy,,-1.4,-0.1,TRUE,0.2,1.1,-2.3,-0.4,0.04,0.275,-0.575,-0.4,3D Graphics - HMD VR
138,148,359,Cognitive factors can influence self-motion perception (vection) in virtual reality,"Ego–motion simulation, psychophysics, spatial orientation, spatial presence, vection, virtual reality",22,,,,,,,Projection Display,Stereo sound,"Design and visualization,Social Science and psychology",,Not Mentioned,Not Sure,,,2,Study 1,,12,,5,17,34,23.8,5,within-subject,each component,/Mean//,Chart,After,No,"ANOVA, paired-samples correlations",post hoc analysis with Bonferroni-corrected p,,2,17,Visual,A,No,12,,,,,,4.04,4.45,3.98,4.75,4.22,,,,,,,,,,,83,BE Riecke; J Schulte-Pelkum; MN Avraamides�,2006,ACM Transactions on��,dl.acm.org,https://dl.acm.org/citation.cfm?id=1166091,https://scholar.google.com/scholar?cites=13511144545204386730&as_sdt=2005&sciodt=0;5&hl=en,79,43628,,,,,,,,,83,6.38,21,4,13,YES,Vection,,3.08,0.22,TRUE,0.2,1.8,-0.08,0.75,0.04,0.45,-0.02,0.75,Projection Display
99,104,246,Driving performance in a power wheelchair simulator,"driving skills, driving strategies, presence, virtual reality",29,,,,,,,3D Graphics - Monoscopic,Unknown,"Interaction techniques,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,29,7-May,9-Aug,20/25,26/35,,,between-subject,each component,/Mean/SD/,Chart,After,No,,,,2,6,Group,V-Group,No,16,,,,,,3.05,2.48,2.6,3.6,,1.3,0.78,0.66,1.32,,,,,,,39,PS Archambault; S Tremblay; S Cachecho…,2012,Disability and …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.3109/17483107.2011.625072,https://scholar.google.com/scholar?cites=12991064995002855261&as_sdt=2005&sciodt=0;5&hl=en,5,43676,,,,,,,,,39,5.57,10,,,YES,Simulator,4 categories 13 questions?,-3.43,-0.245,TRUE,0.25,-2.08,-1.6,0.6,0.05,-0.52,-0.4,0.6,3D Graphics - Monoscopic
1,1,2,Does engagement with exposure yield better outcomes? Components of presence as a predictor of treatment response for virtual reality exposure therapy for social,"Social anxiety, Virtual reality exposure, Presence",41,24,17,,,,,3D Graphics - HMD VR,Unknown,Healthcare and clinical therapies,Exposure Therapy,Not Mentioned,Not Sure,,,1,Study 1,,31,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,"ANOVA,Multilevel model",,"Each component subscales were analysed for the relation between presence and anxiety and associations between presence and treatment response. However, only total score reported. ",3,17,Virtual EnvironmentxSession,Conference roomxMidtreatment,Yes,31,20.33,16.39,15.17,,56.77,,,,,,3.04,4.37,4.59,,9.8,,,,,,101,M Price; N Mehta; EB Tone; PL Anderson,2011,Journal of anxiety disorders,Elsevier,https://www.sciencedirect.com/science/article/pii/S0887618511000442,https://scholar.google.com/scholar?cites=15287092560747902843&as_sdt=2005&sciodt=0;5&hl=en,5,43628,,,,,,,,,101,12.63,25,4,8,YES,Exposure Therapy,,0.77,0.055,TRUE,0.33,0.39,-0.83,0.88,0.066,0.0975,-0.2075,0.88,3D Graphics - HMD VR
116,124,292,Distraction of attention with the use of virtual reality. Influence of the level of game complexity on the level of experienced pain,"Virtual Reality, Pain, Attention distraction, Cold Pressor Test, Video games",31,12,19,20/19,24/30,22.42/21.37,1.51/2.34,3D Graphics - HMD VR,Stereo sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,4,31,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Parametric statistics,,,4,-33,VR,Low Complexity,No,31,,,,,,0.08,-0.38,-1.1,0.59,,1.12,1.13,1.07,1.77,,,,,,,3,J Piskorz; M Czub,2014,Polish Psychological Bulletin,degruyter.com,https://www.degruyter.com/downloadpdf/j/ppb.2014.45.issue-4/ppb-2014-0058/ppb-2014-0058.xml,https://scholar.google.com/scholar?cites=8909671389347806897&as_sdt=2005&sciodt=0;5&hl=en,175,43676,PDF,,,,,,,,3,0.6,2,2,,YES,Pain,,-5.52,-0.394285714,TRUE,0.4,-1.52,-4.4,0.59,0.08,-0.38,-1.1,0.59,3D Graphics - HMD VR
4,4,16,Is virtual reality emotionally arousing? Investigating five emotion inducing virtual park scenarios,"Virtual reality, Presence, Mood induction, Emotion, Physiological measure, Electrodermal activity",120,59,61,,,24.89,4.398,3D Graphics - HMD VR,Unknown,Social Science and psychology,Emotion,German,Not Sure,,,1,Study 1,,120,,,,,,,between-subject,each component,/Mean/SD/,Other,Unknown,No,MANOVA,,Did not find this link between presence and self-reported emotional states. ,1,17,VE,Sadness,No,24,20.42,15.96,14.58,3.83,,,,,,,6.107,5.238,5.815,1.633,,,,,,,71,A Felnhofer; OD Kothgassner; M Schmidt�,2015,International journal of��,Elsevier,https://www.sciencedirect.com/science/article/pii/S1071581915000981,https://scholar.google.com/scholar?cites=13346451287724144593&as_sdt=2005&sciodt=0;5&hl=en,20,43628,,,,,,,,,71,17.75,18,4,4,YES,Emotion,Unknown Scale,-1.21,-0.086428571,TRUE,0.42,-0.04,-1.42,-0.17,0.084,-0.01,-0.355,-0.17,3D Graphics - HMD VR
117,125,297,Here's Looking At You Anyway!: How Important is Realistic Gaze Behavior in Co-located Social Virtual Reality Games?,"Gaze Behavior, Social Virtual Reality, Eye Tracking, Head-mounted Display",42,24,17,18,53,27.5,,3D Graphics - HMD VR,Unknown,"Entertainment and game,Social Science and psychology",,,Not Sure,,45,1,Study 1,16,42,8/08/2008,6/06/2005,,,,,between-subject,each component,/Mean/SD/,Chart,After,No,Spearman’s correlation test,,,2,17,Group,Only saccades,No,14,,,,,,4.09,3.45,4.14,5.14,,0.35,0.66,0.43,0.78,,,,,,,3,S Seele; S Misztal; H Buhler; R Herpers…,2017,Proceedings of the …,dl.acm.org,https://dl.acm.org/citation.cfm?id=3116619,https://scholar.google.com/scholar?cites=7497006300627109154&as_sdt=2005&sciodt=0;5&hl=en,316,43676,,,,,,,,,3,1.5,1,5,,YES,Gaze Behavior,Unknown Scale,-1.19,-0.085,TRUE,0.45,-2.2,0.56,1.14,0.09,-0.55,0.14,1.14,3D Graphics - HMD VR
79,80,197,The Experience of Exposure Across Racial Groups: Differences in Presence During Virtual Reality Exposure Therapy for Social Phobia Across African," Exposure therapy, Virtual Reality Exposure, Experience of treatment, African American, Women",24,,24,21,60,39.96,10.89,3D Graphics - HMD VR,Unknown,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,24,,15-Sep,,,,,between-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,17,People,Caucasian,No,15,20.52,15.93,13.46,,54.24,,,,,,1.68,4.34,3.45,,8.47,,,,,,0,N Mehta,2012,,scholarworks.gsu.edu,https://scholarworks.gsu.edu/cgi/viewcontent.cgi?article=1102&context=psych_theses,,123,43628,PDF,,,,,,,,0,0,0,1,7,YES,Exposure Therapy,Not Clear Number Of Participants,-1.76,-0.125714286,TRUE,0.52,-0.07,-2.54,0.33,0.104,-0.0175,-0.635,0.33,3D Graphics - HMD VR
1,1,3,Does engagement with exposure yield better outcomes? Components of presence as a predictor of treatment response for virtual reality exposure therapy for social,"Social anxiety, Virtual reality exposure, Presence",41,24,17,,,,,3D Graphics - HMD VR,Unknown,Healthcare and clinical therapies,Exposure Therapy,Not Mentioned,Not Sure,,,1,Study 1,,31,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,"ANOVA,Multilevel model",,"Each component subscales were analysed for the relation between presence and anxiety and associations between presence and treatment response. However, only total score reported. ",3,17,Virtual EnvironmentxSession,ClassroomxMidtreatment,Yes,31,20.54,17.38,14.81,,57.16,,,,,,3.02,5.58,4.76,,11.13,,,,,,101,M Price; N Mehta; EB Tone; PL Anderson,2011,Journal of anxiety disorders,Elsevier,https://www.sciencedirect.com/science/article/pii/S0887618511000442,https://scholar.google.com/scholar?cites=15287092560747902843&as_sdt=2005&sciodt=0;5&hl=en,5,43628,,,,,,,,,101,12.63,25,4,8,YES,Exposure Therapy,,1.16,0.082857143,TRUE,0.54,1.38,-1.19,0.43,0.108,0.345,-0.2975,0.43,3D Graphics - HMD VR
4,4,14,Is virtual reality emotionally arousing? Investigating five emotion inducing virtual park scenarios,"Virtual reality, Presence, Mood induction, Emotion, Physiological measure, Electrodermal activity",120,59,61,,,24.89,4.398,3D Graphics - HMD VR,Unknown,Social Science and psychology,Emotion,German,Not Sure,,,1,Study 1,,120,,,,,,,between-subject,each component,/Mean/SD/,Other,Unknown,No,MANOVA,,Did not find this link between presence and self-reported emotional states. ,1,17,VE,Boredom,No,24,20.58,16.42,14,3.63,,,,,,,5.853,5.793,6.228,1.583,,,,,,,71,A Felnhofer; OD Kothgassner; M Schmidt�,2015,International journal of��,Elsevier,https://www.sciencedirect.com/science/article/pii/S1071581915000981,https://scholar.google.com/scholar?cites=13346451287724144593&as_sdt=2005&sciodt=0;5&hl=en,20,43628,,,,,,,,,71,17.75,18,4,4,YES,Emotion,Unknown Scale,-1.37,-0.097857143,TRUE,0.58,0.42,-2,-0.37,0.116,0.105,-0.5,-0.37,3D Graphics - HMD VR
66,67,168,Visually Induced Motion Sickness in 360° Videos: Comparing and Combining Visual Optimization Techniques,"VR sickness, cybersickness, 360º video, cinematic VR, field of view, content analysis, optical flow",12,6,6,23,47,29.9,6.76,3D Graphics - HMD VR,Unknown,"Design and visualization,Social Science and psychology",Motion Sickness,Not Mentioned,Not Sure,,,1,Study 1,3.42,12,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,"ANOVA,Pearson’s product-moment correlation",,,2,6,Condition,C3,No,12,,,,,,3.12,2.98,2.54,2.75,,1.27,0.67,0.51,1.6,,,,,,,0,P Bala; D Dionísio; V Nisi…,2018,2018 IEEE International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8699261/,,332,43676,,,,,,,,,0,0,0,4,,DUPLICATED,,,-1.32,-0.094285714,TRUE,0.6,-0.08,-1.84,-0.25,0.12,-0.02,-0.46,-0.25,3D Graphics - HMD VR
27,28,66,Representation of patients' hand modulates fear reactions of patients with spider phobia in virtual reality,"virtual reality, presence, immersion, perception, fear, specific phobia",64,,,,,,,3D Graphics - HMD VR,Unknown,"Healthcare and clinical therapies,Social Science and psychology",Phobia,Not Mentioned,Not Sure,,,1,Study 1,47,64,0/,32/,18/,30/,22.75/,2.72,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,4,6,GroupxCondition,ControlxInformation,Yes,32,,,,,,3.13,1.95,2.11,3,,1.3,0.9,0.93,1.46,,,,,,,10,HM Peperkorn; JE Diemer; GW Alpers�,2016,Frontiers in��,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fpsyg.2016.00268,https://scholar.google.com/scholar?cites=4840287585176633007&as_sdt=2005&sciodt=0;5&hl=en,87,43628,HTML,,,,,,,,10,3.33,3,4,3,YES,,,-7.11,-0.507857143,TRUE,0.65,-4.2,-3.56,0,0.13,-1.05,-0.89,0,3D Graphics - HMD VR
79,80,198,The Experience of Exposure Across Racial Groups: Differences in Presence During Virtual Reality Exposure Therapy for Social Phobia Across African," Exposure therapy, Virtual Reality Exposure, Experience of treatment, African American, Women",24,,24,21,60,39.96,10.89,3D Graphics - HMD VR,Unknown,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,24,,15-Sep,,,,,between-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,17,People,African-America,No,9,20.67,19.01,18.43,,63.87,,,,,,2.28,3.19,4.5,,8.82,,,,,,0,N Mehta,2012,,scholarworks.gsu.edu,https://scholarworks.gsu.edu/cgi/viewcontent.cgi?article=1102&context=psych_theses,,123,43628,PDF,,,,,,,,0,0,0,1,7,YES,Exposure Therapy,Not Clear Number Of Participants,7.87,0.562142857,TRUE,0.67,3.01,2.43,1.76,0.134,0.7525,0.6075,1.76,3D Graphics - HMD VR
3,3,8,Influence of personality and individual abilities on the sense of presence experienced in anxiety triggering virtual environments,"Individual differences, Anxiety, Personality, Intelligence, Sense of presence, Virtual reality",210,37,173,18,45,23.19,3.76,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,Individual differences,Not Mentioned,Not Sure,,120,1,Study 1,58,210,Aug-29,60/113,19/18,34/45,22.35/23.58,2.67/4.12,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,3,17,GroupxEmotional,High test anxietyxEmotional,Yes,68,,,,,,4.14,3.78,3.79,4.68,3.97,0.71,1.08,0.89,0.98,0.78,,,,,,78,I Alsina-Jurnet; J Guti�rrez-Maldonado,2010,International journal of human��,Elsevier,https://www.sciencedirect.com/science/article/pii/S1071581910000868,https://scholar.google.com/scholar?cites=2159830824679308184&as_sdt=2005&sciodt=0;5&hl=en,57,43628,,,,,,,,,78,8.67,39,2,9,YES,Individual Difference,,-0.42,-0.03,TRUE,0.7,-0.88,-0.84,0.68,0.14,-0.22,-0.21,0.68,3D Graphics - HMD VR
1,1,1,Does engagement with exposure yield better outcomes? Components of presence as a predictor of treatment response for virtual reality exposure therapy for social,"Social anxiety, Virtual reality exposure, Presence",41,24,17,,,,,3D Graphics - HMD VR,Unknown,Healthcare and clinical therapies,Exposure Therapy,Not Mentioned,Not Sure,,,1,Study 1,,31,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,"ANOVA,Multilevel model",,"Each component subscales were analysed for the relation between presence and anxiety and associations between presence and treatment response. However, only total score reported. ",3,17,Session,Posttreatment,No,31,20.73,16.12,13.88,,55.38,,,,,,3.33,6.22,5.98,,13.98,,,,,,101,M Price; N Mehta; EB Tone; PL Anderson,2011,Journal of anxiety disorders,Elsevier,https://www.sciencedirect.com/science/article/pii/S0887618511000442,https://scholar.google.com/scholar?cites=15287092560747902843&as_sdt=2005&sciodt=0;5&hl=en,5,43628,,,,,,,,,101,12.63,25,4,8,YES,Exposure Therapy,,-0.62,-0.044285714,TRUE,0.73,0.12,-2.12,0.65,0.146,0.03,-0.53,0.65,3D Graphics - HMD VR
46,47,120,Optimized HMD System for Underwater VR Experience,"Head-mounted display (HMD), Virtual reality, Wearable devices",6,6,0,18,22,,,3D Graphics - HMD VR,Unknown,"Entertainment and game,Interaction techniques,Other",,Not Mentioned,Not Sure,,,1,Study 1,,6,,,,,,,within-subject,each component,/Mean/SD/,Other,Unknown,No,,,,2,6,HMD,proposed,No,6,,,,,,3.15,3.52,3.4,,3.31,0.96,1.7,0.47,,1.72,,,,,,4,H Osone; T Yoshida; Y Ochiai,2017,International Conference on Advances in …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-76270-8_31,https://scholar.google.com/scholar?cites=12221140667045943805&as_sdt=2005&sciodt=0;5&hl=en,333,43676,,,,,,,,,4,2,1,3,,DUPLICATED,,,4.34,0.31,TRUE,0.75,2.08,1.6,-0.09,0.15,0.52,0.4,-0.09,3D Graphics - HMD VR
63,64,161,Influence of hearing your steps and environmental sounds in VR while walking,"Virtual Reality, Presence, Soundscape, Footsteps, IPQ, head-mounted display",40,11,29,18,34,22.95,4.44,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,,German,Not Sure,,,1,Study 1,,40,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,4,-33,Soundscape,No,No,40,,,,,,0.17,-0.33,-1.38,-0.275,,0.73,0.83,1.15,1.502,,,,,,,0,AC Kern; W Ellermeier,2018,2018 IEEE 4th VR Workshop on Sonic��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8577177/,,93,43628,,,,,,,,,0,0,0,2,1,YES,Presence,,-5.99,-0.427857143,TRUE,0.85,-1.32,-5.52,-0.275,0.17,-0.33,-1.38,-0.275,3D Graphics - HMD VR
100,105,248,How body movement influences virtual reality analgesia?,"Virtual Reality, pain, cold pressor test, movement, presence, analgesia",30,10,20,18/19,50/24,25.60/20.55,9.26/1.50,3D Graphics - HMD VR,Stereo sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,4,30,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Non-parametric statistics; Pearson Correlation Coefficient,,,2,-33,Condition,Large Movement,No,30,,,,,,0.17,0.03,-0.71,0.23,,1.32,1.67,1.24,2.06,,,,,,,15,M Czub; J Piskorz,2014,2014 International Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6990185/,https://scholar.google.com/scholar?cites=2292082930132990674&as_sdt=2005&sciodt=0;5&hl=en,7,43676,,,,,,,,,15,3,8,,,YES,Analgesia,Some missing data,-1.87,-0.133571429,TRUE,0.85,0.12,-2.84,0.23,0.17,0.03,-0.71,0.23,3D Graphics - HMD VR
4,4,12,Is virtual reality emotionally arousing? Investigating five emotion inducing virtual park scenarios,"Virtual reality, Presence, Mood induction, Emotion, Physiological measure, Electrodermal activity",120,59,61,,,24.89,4.398,3D Graphics - HMD VR,Unknown,Social Science and psychology,Emotion,German,Not Sure,,,1,Study 1,,120,,,,,,,between-subject,each component,/Mean/SD/,Other,Unknown,No,MANOVA,,Did not find this link between presence and self-reported emotional states. ,1,17,VE,Joy,No,24,20.88,17.33,13.5,3.79,,,,,,,5.613,5.753,5.445,1.414,,,,,,,71,A Felnhofer; OD Kothgassner; M Schmidt�,2015,International journal of��,Elsevier,https://www.sciencedirect.com/science/article/pii/S1071581915000981,https://scholar.google.com/scholar?cites=13346451287724144593&as_sdt=2005&sciodt=0;5&hl=en,20,43628,,,,,,,,,71,17.75,18,4,4,YES,Emotion,Unknown Scale,-0.5,-0.035714286,TRUE,0.88,1.33,-2.5,-0.21,0.176,0.3325,-0.625,-0.21,3D Graphics - HMD VR
77,78,192,The Influence of Visual Realism on the Sense of Presence in Virtual Environments,,52,32,20,18,48,22.81,5.94,3D Graphics - HMD VR,Unknown,Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,52,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,"ANOVA,Pearson correlations",,,4,17,OrderxRealism,Realistic FirstxRealistic,Yes,25,,,,,,4.18,4.23,2.32,4.32,3.67,0.67,0.73,0.59,0.95,0.35,,,,,,0,Y Toczek,2016,,research.tue.nl,https://research.tue.nl/files/46946153/855787-1.pdf,,169,43628,PDF,,,,,,,,0,0,0,1,3,YES,Presence,Unknown Scale,-4.62,-0.33,TRUE,0.9,0.92,-6.72,0.32,0.18,0.23,-1.68,0.32,3D Graphics - HMD VR
42,43,108,Delay compensation for a telepresence system with 3d 360 degree vision based on deep head motion prediction and dynamic fov adaptation,"3D vision, telepresence, virtual reality, remote reality, omnidirectional vision",13,9,4,,,25.38,5.18,3D Graphics - HMD VR,Unknown,"Interaction techniques,Social Science and psychology",Telepresence,Not Mentioned,Not Sure,,,1,Study 1,0.75,13,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,ANOVA,,,2,6,Scene,Comp.+rect. color,No,13,15.9,12.1,10.69,3.33,,,,,,,2.5,2.69,2.56,2.72,,,,,,,3,T Aykut; M Karimi; C Burgmair�,2018,IEEE Robotics and��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8429079/,https://scholar.google.com/scholar?cites=8422483897848827086&as_sdt=2005&sciodt=0;5&hl=en,309,43628,,,,,,,,,3,3,1,4,1,YES,Telepresence,,0.02,0.001428571,TRUE,0.9,0.1,-1.31,0.33,0.18,0.025,-0.3275,0.33,3D Graphics - HMD VR
11,12,31,"Effects of stereoscopic viewing on presence, anxiety, and cybersickness in a virtual reality environment for public speaking","Specific phobia, Exposure therapy, Spiders, Virtual reality, Serious games, Gamification",88,53,35,18,70,28,6.3,"3D Graphics - HMD VR,Other",Stereo sound,Healthcare and clinical therapies,Exposure therapy,Not Mentioned,Not Sure,,,1,Study 1,17,86,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,TTest,,,1,6,VE,Neutral,No,86,,,,,,3.2,3,2.8,3.5,,1.2,1.2,0.9,1.5,,,,,,,43,Y Ling; WP Brinkman; HT Nefs; C Qu�,2012,Presence: Teleoperators��,MIT Press,https://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00111,https://scholar.google.com/scholar?cites=12450000004622731836&as_sdt=2005&sciodt=0;5&hl=en,27,43628,,,,,,,,,43,6.14,9,5,7,YES,Exposure Therapy,,0.2,0.014285714,TRUE,1,0,-0.8,0.5,0.2,0,-0.2,0.5,3D Graphics - Monoscopic
137,146,346,Moving sounds enhance the visually-induced self-motion illusion (circular vection) in virtual reality,"Audiovisual interactions, presence, psychophysics, self-motion simulation, spatial sound, vection, virtual reality",32,,,,,,,Projection Display,Stereo sound,"Design and visualization,Interaction techniques,Social Science and psychology",,Not Mentioned,Not Sure,,,2,Study 1,,20,,,,,28.7,8,within-subject,each component,/Mean//,Chart,After,No,ANOVA,T-test,,2,17,Audiotory,No sound,No,20,,,,,,4.2,3.84,3.57,4.12,3.91,,,,,,,,,,,98,BE Riecke; A V�ljam�e; J Schulte-Pelkum,2009,ACM Transactions on��,dl.acm.org,https://dl.acm.org/citation.cfm?id=1498701,https://scholar.google.com/scholar?cites=10567446197223633119&as_sdt=2005&sciodt=0;5&hl=en,245,43628,,,,,,,,,98,9.8,33,3,10,YES,Vection,,-1.26,-0.09,TRUE,1,-0.64,-1.72,0.12,0.2,-0.16,-0.43,0.12,Projection Display
10,11,29,Effects of different types of virtual reality display on presence and learning in a safety training scenario,"Virtual reality, displays, fidelity, training, user study, aviation, safety",96,55,41,18,36,23.81,3.58,"3D Graphics - Monoscopic,3D Graphics - HMD VR",Stereo sound,Education and training,Training,Not Mentioned,Not Sure,,,1,Study 1,,96,18/19/18,14/13/14,,,24.53/23.84/23.06,3.82/4.07/2.65,between-subject,each component,/Mean/SD/,Other,After,No,ANCOVA,Bonferroni test,,1,6,Group,MF,No,32,,,,,,3.21,3.69,2.45,2.69,3.09,,,,,,0.22,0.22,0.15,0.33,0.15,43,F Buttussi; L Chittaro,2017,IEEE transactions on visualization and��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7817889/,https://scholar.google.com/scholar?cites=1482394720363540760&as_sdt=2005&sciodt=0;5&hl=en,244,43628,,,,,,,,,43,21.5,22,2,2,YES,Training,Report SE,1.26,0.09,TRUE,1.05,2.76,-2.2,-0.31,0.21,0.69,-0.55,-0.31,3D Graphics - HMD VR
