paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,condition_name,element_name,is_interaction,participant_per_element,original_rating_scale,original_total_sp,original_total_inv,original_total_real,original_total_gp,original_total_overall,original_mean_sp,original_mean_inv,original_mean_real,original_mean_gp,original_mean_overall,standard_rating_scale,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,is_scale_recover,scale_note,report_type,ranking_class,sp_ranking_class,inv_ranking_class,real_ranking_class,gp_ranking_class
32,34,,Evidence for a two-step model of social group influence,[],160,34,123,18,31,,,"[""3D Graphics - HMD VR/MR""]","[""Stereo sound""]","[""Social Science and psychology""]","""""","[""Other""]","""Not Sure""","""Using Dutch IPQ, Two samples of participants. Sample 1 consisted of 60 participants (47 female, 10 male, 3 unknown gender, Mage = 18.67, SDage = 1.53, rangeage = 18\u201327). Sample 2 consisted of 100 participants (76 female, 24 male, Mage = 19.17, SDage = 2.03, rangeage = 18\u201331).""",,1,"""Study 1""",,160,34,123,18,31,,,"""within-subject""","""each component""",Whole Study,"""Other""","[""After""]",No,[],"""""","""""",1,,,No,,17,26.65,14.56,13.92,5.2,61.74,5.33,3.64,3.48,5.2,4.41,-33,5.74,0.41,Yes,6.65,-1.44,-2.08,1.2,1.33,-0.36,-0.52,1.2,,1,"E Cracco, U Bernardet, R Sevenhant, N Vandenhouwe…",2022,Iscience,Elsevier,https://www.sciencedirect.com/science/article/pii/S2589004222011634,"https://scholar.google.com/scholar?cites=7341022188889027891&as_sdt=2005&sciodt=0,5&hl=en",82,5/31/2023 16:53,HTML,,,,,,,,1,1,0,5,1,,,,,,,Class Moderate,Class High,Class Low,Class Low,Class Moderate
35,37,,Psychoeducation on Stress and Anxiety Using Virtual Reality: A Mixed-Methods Study,"[""virtual reality"","" psychoeducation"","" stress and anxiety management"","" anxiety"","" stress"","" healthcare workers"","" COVID-19""]",20,,12,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Healthcare and clinical therapies"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,20,,12,,,,,"""within-subject""","""each component""",Whole Study,"""Other""","[""After""]",No,[],"""""","""""",1,,,No,,17,21,13.2,13.2,5.1,55.72,4.2,3.3,3.3,5.1,3.98,-33,-0.28,-0.02,Yes,1,-2.8,-2.8,1.1,0.2,-0.7,-0.7,1.1,,1,"F Pallavicini, E Orena, F Achille, M Cassa, C Vuolato…",2022,Applied Sciences,mdpi.com,https://www.mdpi.com/1824024,"https://scholar.google.com/scholar?cites=17720621557741676271&as_sdt=2005&sciodt=0,5&hl=en",133,5/31/2023 16:53,,,,,,,,,1,1,0,6,1,,,,,,,Class Low,Class Low,Class Low,Class Low,Class Moderate
36,38,,RealityLens: A User Interface for Blending Customized Physical World View into Virtual Reality,"[""Virtual Reality"","" Blending Reality"","" Augmented Virtuality""]",12,6,6,,,25.9,4.03,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Interaction techniques""]","""""","[""Not Mentioned""]","""Not Sure""","""Two studies, only one using IPQ""",,1,"""Study 1""",,12,6,6,,,25.9,4.03,"""within-subject""","""each component""",Each Condition,"""Other""","[""After""]",No,"[""TTest""]","""""","""""",1,,,No,,17,25.75,16.04,16.04,5.75,66.22,5.15,4.01,4.01,5.75,4.73,-33,10.22,0.73,Yes,5.75,0.04,0.04,1.75,1.15,0.01,0.01,1.75,,1,"CH Wang, BY Chen, L Chan",2022,Proceedings of the 35th Annual ACM …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3526113.3545686,"https://scholar.google.com/scholar?cites=78239321754370786&as_sdt=2005&sciodt=0,5&hl=en",107,5/31/2023 16:53,,10.1145/3526113.3545686,,,,,,,1,1,0,3,1,,,,,,,Class High,Class Moderate,Class Low,Class High,Class High
37,39,,"Role of Presence, Memory and Spatial Ability in a Desktop Virtual Reality",[],31,,,,,,,"[""3D Graphics - Monoscopic""]","[""Unknown""]","[""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,31,,,,,,,"""within-subject""","""each component""",Whole Study,"""Other""","[""Unknown""]",No,[],"""""","""""",1,,,No,,06,13.5,8.92,6.4,2.71,32.34,2.7,2.23,1.6,2.71,2.31,-33,-9.66,-0.69,Yes,-1.5,-3.08,-5.6,-0.29,-0.3,-0.77,-1.4,-0.29,,1,B Berki,2022,Accentuated Innovations in Cognitive Info …,Springer,https://link.springer.com/chapter/10.1007/978-3-031-10956-0_4,"https://scholar.google.com/scholar?cites=1950144919557991295&as_sdt=2005&sciodt=0,5&hl=en",222,5/31/2023 16:53,,10.1007/978-3-031-10956-0_4,,,,,,,1,1,1,1,1,,,,,,,Class Low,Class Low,Class Low,Class Low,Class Low
39,41,,Are You There? A Study on Measuring Presence in Immersive Virtual Reality,[],,,,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""Japanese version of the IPQ""",,2,"""Study 1""",,12,10,2,21,28,23.9,1.84,"""within-subject""","""each component""",Each Condition,"""Chart""","[""Unknown""]",No,[],"""""","""""",1,,,No,,06,22.15,13.84,7.72,4.4,49.84,4.43,3.46,1.93,4.4,3.56,-33,7.84,0.56,Yes,7.15,1.84,-4.28,1.4,1.43,0.46,-1.07,1.4,,0,"R Tamaki, T Nakajima",2022,"Virtual, Augmented and Mixed Reality: Design and …",Springer,https://link.springer.com/chapter/10.1007/978-3-031-05939-1_18,,246,5/31/2023 16:53,,10.1007/978-3-031-05939-1_18,,,,,,,0,0,0,2,1,,,,,,,Class Moderate,Class High,Class Moderate,Class Low,Class Moderate
39,42,,Are You There? A Study on Measuring Presence in Immersive Virtual Reality,[],,,,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""Japanese version of the IPQ""",,2,"""Study 2""",,12,11,1,21,29,23.8,2.36,"""within-subject""","""each component""",Each Condition Interaction,"""Chart""","[""Unknown""]",No,"[""ANOVA"",""TTest""]","""""","""""",1,,,Yes,,06,20.6,17.32,9.52,4.17,52.5,4.12,4.33,2.38,4.17,3.75,-33,10.5,0.75,Yes,5.6,5.32,-2.48,1.17,1.12,1.33,-0.62,1.17,,0,"R Tamaki, T Nakajima",2022,"Virtual, Augmented and Mixed Reality: Design and …",Springer,https://link.springer.com/chapter/10.1007/978-3-031-05939-1_18,,246,5/31/2023 16:53,,10.1007/978-3-031-05939-1_18,,,,,,,0,0,0,2,1,,,,,,,Class High,Class Moderate,Class Exceptional,Class Low,Class Moderate
41,44,,Comparison of the Effect of Exposing Users for Height While Being Active Versus Passive in a Virtual Environment-A Pilot Study,"[""Virtual reality"","" Exposure treatment"","" Acrophobia""]",22,12,10,20,52,28.3,8.86,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Healthcare and clinical therapies"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,22,12,10,20,52,28.3,8.86,"""within-subject""","""each item""",Each Condition,"""Other""","[""After""]",No,[],"""""","""""",1,,,No,,06,19.65,16.76,12.8,4.9,56.84,3.93,4.19,3.2,4.9,4.06,-33,14.84,1.06,Yes,4.65,4.76,0.8,1.9,0.93,1.19,0.2,1.9,,0,"G Alce, F Hanserup, K Palm",2022,"… Conference, XR Salento 2022, Lecce, Italy …",Springer,https://link.springer.com/chapter/10.1007/978-3-031-15546-8_2,,250,5/31/2023 16:53,,10.1007/978-3-031-15546-8_2,,,,,,,0,0,0,3,1,,,,,,,Class High,Class Moderate,Class Very High,Class High,Class High
42,45,,Do People Matter? Presence and Prosocial Decision-making in Virtual Reality,"[""Virtual Reality"","" perceived agency"","" presence"","" prosocial behaviour"","" decision making""]",32,22,10,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Entertainment and game"",""Social Science and psychology""]","""""","[""English""]","""Not Sure""","""The total overall presence scores range from 14 to 84. So scale from 1 to 6, but score for GP \u003E 6, so adjusted scale to 14 to 98""",,1,"""Study 1""",,32,22,10,,,,,"""between-subject""","""each component""",Each Condition,"""Other""","[""After""]",No,"[""TTest"",""2-tailed t-test""]","""""","""""",1,,,No,,17,29.9,20.48,16.28,6.06,74.34,5.98,5.12,4.07,6.06,5.31,-33,18.34,1.31,Yes,9.9,4.48,0.28,2.06,1.98,1.12,0.07,2.06,,0,"S Wei, A Bramwell-Dicks",2022,35th International BCS Human …,scienceopen.com,https://www.scienceopen.com/hosted-document?doi=10.14236/ewic/HCI2022.30,,243,5/31/2023 16:53,,10.14236/ewic/HCI2022.30,,,,,,,0,0,0,2,1,,,,,,,Class Exceptional,Class Very High,Class Very High,Class High,Class Very High
44,47,,Increasing the effectiveness of human-computer interfaces for mental health interventions,[],56,,35,18,27,20.32,1.71,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Healthcare and clinical therapies"",""Interaction techniques"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,56,,35,18,27,20.32,1.71,"""within-subject""","""each component""",Each Condition,"""Other""","[""After""]",No,"[""TTest""]","""""","""""",1,,,No,,-33,3.6,-0.68,-1.48,0.59,2.66,0.72,-0.17,-0.37,0.59,0.19,-33,2.66,0.19,Yes,3.6,-0.68,-1.48,0.59,0.72,-0.17,-0.37,0.59,,0,D Gall,2022,,opus.bibliothek.uni-wuerzburg.de,https://opus.bibliothek.uni-wuerzburg.de/frontdoor/index/index/docId/23012,,272,5/31/2023 16:53,,,,,,,,,0,0,0,1,1,,,,,,,Class Low,Class Moderate,Class Low,Class Moderate,Class Low
45,48,,Investigating the Influence of Gaze-and Context-Adaptive Head-up Displays on Take-Over Requests,"[""Automated Vehicles"","" Head-up Displays"","" Take-Over Requests"","" SAE Level 3"","" Gaze-Interaction"","" Warning Cue Design"","" Warning Continuity""]",12,10,2,22,32,25.83,3.56,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Interaction techniques""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,12,10,2,22,32,25.83,3.56,"""within-subject""","""each component""",Whole Study,"""Other""","[""After""]",No,[],"""""","""""",1,,,No,,17,27.1,16.24,13.92,5.25,63.7,5.42,4.06,3.48,5.25,4.55,-33,7.7,0.55,Yes,7.1,0.24,-2.08,1.25,1.42,0.06,-0.52,1.25,,0,"H Detjen, S Faltaous, J Keppel, M Prochazka…",2022,Proceedings of the 14th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3543174.3546089,,134,5/31/2023 16:53,,10.1145/3543174.3546089,,,,,,,0,0,0,5,1,,,,,,,Class Moderate,Class High,Class Low,Class Low,Class Moderate
46,49,,Sviluppo di un sistema per l'interazione con oggetti reali contestualizzati in ambienti di Realtà Mixata,[],10,6,4,21,41,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Interaction techniques""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,10,6,4,21,41,,,"""within-subject""","""each component""",Whole Study,"""Chart""","[""After""]",No,[],"""""","""""",1,,,No,,06,21,15.6,14,4.2,55.3,4.2,3.9,3.5,4.2,3.95,-33,13.3,0.95,Yes,6,3.6,2,1.2,1.2,0.9,0.5,1.2,,0,"B Paoletti, M Pizzo",2022,,unire.unige.it,http://unire.unige.it/handle/123456789/4267,,278,5/31/2023 16:53,,,,,,,,,0,0,0,2,1,,,,,,,Class High,Class Moderate,Class High,Class Very High,Class Moderate
47,50,,Therapeutic Virtual Reality: Implementing the Next Frontier in Mental Healthcare,[],3,,,,,,,"[""3D Graphics - HMD VR/MR""]","[""Surround sound""]","[""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""",""" IPQ scores for Participant C for session 1 only""",,1,"""Study 1""",,3,,,,,,,"""within-subject""","""each component""",Each Condition,"""Other""","[""Unknown""]",No,[],"""""","""""",1,,,No,,06,19.65,15.16,9.68,4.5,51.24,3.93,3.79,2.42,4.5,3.66,-33,9.24,0.66,Yes,4.65,3.16,-2.32,1.5,0.93,0.79,-0.58,1.5,,0,OS Chung,2022,,scholar.archive.org,https://scholar.archive.org/work/csrmmfmkdrcixephp6ijkikvmi/access/wayback/https://au-east.erc.monash.edu.au/fpfiles/36799083/OliviaChung_PhDThesis_Amendment_final.pdf?AWSAccessKeyId=e00145a6f706457aab45051570081e49&Expires=1661531364&Signature=1FJD361kY12QTVZst3Jq9V2AMRI%3D,,256,5/31/2023 16:53,PDF,,,,,,,,0,0,0,1,1,,,,,,,Class Moderate,Class Moderate,Class High,Class Low,Class High
48,51,,Two-step communication for the interaction between automated vehicles and pedestrians,"[""automated vehicles"","" vehicle-pedestrian interaction"","" external human machine interface"","" active pitch motion"","" implicit communication""]",33,,,,,,,"[""3D Graphics - HMD VR/MR""]","[""Stereo sound""]","[""Interaction techniques"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,30,22,8,23,59,26.53,10.08,"""within-subject""","""each component""",Whole Study,"""Other""","[""After""]",No,[],"""""","""""",1,,,No,,06,22.5,17.12,12.2,4.63,57.68,4.5,4.28,3.05,4.63,4.12,-33,15.68,1.12,Yes,7.5,5.12,0.2,1.63,1.5,1.28,0.05,1.63,,0,"J Bindschädel, I Krems, A Kiesel",2022,… research part F: traffic psychology and …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1369847822001930,,86,5/31/2023 16:53,HTML,,,,,,,,0,0,0,3,1,,,,,,,Class Very High,Class High,Class Exceptional,Class High,Class High
52,55,,Nature in virtual reality improves mood and reduces stress: evidence from young adults and senior citizens,"[""Virtual reality"","" Nature"","" Emotion"","" Stress"","" Well-being"","" Mental health""]",12,,6,,,22.6,1.3,"[""3D Graphics - HMD VR/MR""]","[""Stereo sound""]","[""Healthcare and clinical therapies"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""There are 3 studies but only one using the IPQ for pilot study.""",,1,"""Study 1""",,12,,6,,,22.6,1.3,"""within-subject""","""each component""",Each Condition,"""Other""","[""Unknown""]",No,"[""TTest""]","""""","""""",1,,,No,,17,22.1,15.88,14.12,4.34,56.98,4.42,3.97,3.53,4.34,4.07,-33,0.98,0.07,Yes,2.1,-0.12,-1.88,0.34,0.42,-0.03,-0.47,0.34,,37,"SHM Chan, L Qiu, G Esposito, KP Mai, KP Tam, J Cui",2021,Virtual reality,Springer,https://link.springer.com/article/10.1007/s10055-021-00604-4,"https://scholar.google.com/scholar?cites=2408987257961680635&as_sdt=2005&sciodt=0,5&hl=en",16,5/31/2023 16:55,HTML,10.1007/s10055-021-00604-4,,,,,,,37,18.5,6,6,2,,,,,,,Class Low,Class Low,Class Low,Class Low,Class Low
54,57,,A collaborative virtual reality environment for liver surgery planning,"[""Virtual reality"","" Surgical planning"","" Medical visualization"","" Human-computer interaction""]",3,2,1,28,35,,,"[""3D Graphics - HMD VR/MR""]",[],"[""Healthcare and clinical therapies"",""Interaction techniques"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,3,2,1,28,35,,,"""within-subject""","""each component""",Whole Study,"""Other""","[""After""]",No,[],"""""","""""",1,,,No,,17,25.65,16.68,15,5.33,64.4,5.13,4.17,3.75,5.33,4.6,-33,8.4,0.6,Yes,5.65,0.68,-1,1.33,1.13,0.17,-0.25,1.33,,27,"V Chheang, P Saalfeld, F Joeres, C Boedecker…",2021,Computers & …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849321001400,"https://scholar.google.com/scholar?cites=18116694347130638691&as_sdt=2005&sciodt=0,5&hl=en",39,5/31/2023 16:56,HTML,,,,,,,,27,13.5,5,5,2,,,,,,,Class Moderate,Class Moderate,Class Low,Class Moderate,Class Moderate
55,58,,Virtual reality tour for first-time users of highly automated cars: Comparing the effects of virtual environments with different levels of interaction fidelity,"[""Virtual reality"","" Food cue exposure"","" Psychological food cue responses"","" Physiological food cue responses"","" Craving"","" Salivation""]",84,,,,,,,"[""3D Graphics - Monoscopic"",""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Interaction techniques""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,84,,,,,,,"""between-subject""","""each component""",Each Condition,"""Chart""","[""Unknown""]",No,"[""Kruskal Wallis""]","""Mann-Whitney""","""""",1,,,No,,06,14.8,11.92,10.76,2.72,39.76,2.96,2.98,2.69,2.72,2.84,-33,-2.24,-0.16,Yes,-0.2,-0.08,-1.24,-0.28,-0.04,-0.02,-0.31,-0.28,,25,"M Ebnali, R Lamb, R Fathi, K Hulme",2021,Applied Ergonomics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0003687020301782,"https://scholar.google.com/scholar?cites=16989967781625076270&as_sdt=2005&sciodt=0,5&hl=en",60,5/31/2023 16:55,HTML,,,,,,,,25,12.5,6,4,2,,,,,,,Class Low,Class Low,Class Low,Class Moderate,Class Low
58,61,,Aerial firefighter radio communication performance in a virtual training system: radio communication disruptions simulated in VR for Air Attack Supervision,"[""Virtual reality"","" Simulation"","" Aviation"","" Radio communications"","" Firefighting"","" CRM""]",25,23,2,,,,,"[""3D Graphics - Monoscopic""]","[""Stereo sound""]","[""Interaction techniques"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,25,23,2,,,,,"""within-subject""","""each component""",Whole Study,"""Other""","[""After""]",No,"[""TTest""]","""""","""""",1,,,No,,17,26.55,18.4,12.4,5.72,65.52,5.31,4.6,3.1,5.72,4.68,-33,9.52,0.68,Yes,6.55,2.4,-3.6,1.72,1.31,0.6,-0.9,1.72,,15,"RMS Clifford, H Engelbrecht, S Jung, H Oliver…",2021,The visual computer,Springer,https://link.springer.com/article/10.1007/s00371-020-01816-6,"https://scholar.google.com/scholar?cites=15641515411521356879&as_sdt=2005&sciodt=0,5&hl=en",112,5/31/2023 16:55,HTML,10.1007/s00371-020-01816-6,,,,,,,15,7.5,3,5,2,,,,,,,Class Moderate,Class High,Class Moderate,Class Low,Class High
59,62,,The embodiment of photorealistic avatars influences female body weight perception in virtual reality,"[""Virtual human"","" presence"","" virtual body ownership"","" agency"","" body image"","" eating- and body weight disorders""]",56,,56,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""Scale from 0 to 10""",,1,"""Study 1""",,52,,,,,,,"""between-subject""","""each component""",Each Condition,"""Other""","[""After""]",No,"["" Mann-Whitney-Wilcoxon""]","""""","""""",1,,,No,,010,30.9,15.36,17.52,4.87,67.48,6.18,3.84,4.38,4.87,4.82,-33,-1.54,-0.11,Yes,3.55,-2.8,-1.48,-0.08,0.71,-0.7,-0.37,-0.08,,15,"E Wolf, N Merdan, N Dölinger, D Mal…",2021,2021 IEEE Virtual …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9417692/,"https://scholar.google.com/scholar?cites=7255891931848517547&as_sdt=2005&sciodt=0,5&hl=en",119,5/31/2023 16:55,,,,,,,,,15,7.5,3,5,2,,,,Yes,,,Class Low,Class Low,Class Low,Class Moderate,Class Low
60,63,,Immersive construction detailing education: building information modeling (BIM)–based virtual reality (VR),"[""Building construction education"","" BIM"","" Human computer interaction"","" Interactive learning environments"","" Virtual construction site"","" Virtual reality""]",31,,,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Education and training""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,22,,,,,,,"""between-subject""","""each component""",Each Condition,"""Chart""","[""Unknown""]",No,[],"""""","""""",1,,,No,,06,22.6,15.6,13.04,5.44,59.92,4.52,3.9,3.26,5.44,4.28,-33,17.92,1.28,Yes,7.6,3.6,1.04,2.44,1.52,0.9,0.26,2.44,,14,"MH Elgewely, W Nadim, A ElKassed…",2021,Open House …,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/OHI-02-2021-0032/full/html,"https://scholar.google.com/scholar?cites=11927034094997012036&as_sdt=2005&sciodt=0,5&hl=en",62,5/31/2023 16:55,HTML,10.1108/OHI-02-2021-0032,,,,,,,14,7,4,4,2,,,,,,,Class Very High,Class High,Class High,Class High,Class Exceptional
61,64,,"Authentic fear responses in virtual reality: a mobile EEG study on affective, behavioral and electrophysiological correlates of fear",[],96,,,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Healthcare and clinical therapies"",""Social Science and psychology""]","""1""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,91,,,,,,,"""between-subject""","""each component""",Each Condition,"""Other""","[""Unknown""]",No,"[""Kruskal-Wallis test, Mann-Whitney U-test""]","""""","""""",1,,,No,,-33,6.85,3.76,-1.88,1.11,10.36,1.37,0.94,-0.47,1.11,0.74,-33,10.36,0.74,Yes,6.85,3.76,-1.88,1.11,1.37,0.94,-0.47,1.11,,13,"J Kisker, L Lange, K Flinkenflügel, M Kaup…",2021,Frontiers in Virtual …,frontiersin.org,https://www.frontiersin.org/articles/10.3389/frvir.2021.716318/full,"https://scholar.google.com/scholar?cites=1020532729192850854&as_sdt=2005&sciodt=0,5&hl=en",76,5/31/2023 16:55,HTML,10.3389/frvir.2021.716318,,,,,,,13,6.5,3,5,2,,,,,,,Class High,Class High,Class High,Class Low,Class Moderate
63,66,,Head-mounted display with increased downward field of view improves presence and sense of self-location,"[""Downward field of view"","" Virtual avatar"","" Presence"","" Sense of self-location"","" Head-mounted displays""]",,,,,,,,"[""3D Graphics - HMD VR/MR""]",[],"[""Design and visualization"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,2,"""Study 1""",,24,16,8,,,24.8,3.74,"""within-subject""","""each component""",Each Condition,"""Other""","[""After""]",No,"[""ANOVA""]","""""","""""",1,,,No,,17,24.3,19.04,12.68,4.75,61.32,4.86,4.76,3.17,4.75,4.38,-33,5.32,0.38,Yes,4.3,3.04,-3.32,0.75,0.86,0.76,-0.83,0.75,,9,"K Nakano, N Isoyama, D Monteiro, N Sakata…",2021,IEEE Transactions on …,computer.org,https://www.computer.org/csdl/journal/tg/5555/01/09523894/1wpqkPb7CSY,"https://scholar.google.com/scholar?cites=10981694579028841287&as_sdt=2005&sciodt=0,5&hl=en",125,5/31/2023 16:55,,,,,,,,,9,4.5,2,5,2,,,,,,,Class Moderate,Class Moderate,Class High,Class Low,Class Low
63,67,,Head-mounted display with increased downward field of view improves presence and sense of self-location,"[""Downward field of view"","" Virtual avatar"","" Presence"","" Sense of self-location"","" Head-mounted displays""]",,,,,,,,"[""3D Graphics - HMD VR/MR""]",[],"[""Design and visualization"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,2,"""Study 2""",,24,16,8,,,24.8,3.74,"""within-subject""","""each component""",Each Condition,"""Other""","[""After""]",No,"["" Wilcoxon signed-rank tes""]","""""","""""",1,,,No,,17,24.1,19.76,13.72,5.16,64.26,4.82,4.94,3.43,5.16,4.59,-33,8.26,0.59,Yes,4.1,3.76,-2.28,1.16,0.82,0.94,-0.57,1.16,,9,"K Nakano, N Isoyama, D Monteiro, N Sakata…",2021,IEEE Transactions on …,computer.org,https://www.computer.org/csdl/journal/tg/5555/01/09523894/1wpqkPb7CSY,"https://scholar.google.com/scholar?cites=10981694579028841287&as_sdt=2005&sciodt=0,5&hl=en",125,5/31/2023 16:55,,,,,,,,,9,4.5,2,5,2,,,,,,,Class Moderate,Class Moderate,Class High,Class Low,Class Moderate
64,68,,The influence of In-VR questionnaire design on the user experience,"[""Virtual Reality"","" Questionnaires"","" 3D User Interface"","" Presence""]",16,15,1,21,35,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,16,15,1,21,35,,,"""within-subject""","""each component""",Each Condition,"""Chart""","[""After""]",No,"[""ANOVA""]","""""","""""",1,,,No,,17,20.8,20.04,12.8,3.97,57.12,4.16,5.01,3.2,3.97,4.08,-33,1.12,0.08,Yes,0.8,4.04,-3.2,-0.03,0.16,1.01,-0.8,-0.03,,8,"S Safikhani, M Holly, A Kainz, J Pirker",2021,… of the 27th ACM Symposium on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3489849.3489884,"https://scholar.google.com/scholar?cites=13358261483007072103&as_sdt=2005&sciodt=0,5&hl=en",106,5/31/2023 16:55,,10.1145/3489849.3489884,,,,,,,8,4,2,4,2,,,,,,,Class Low,Class Low,Class High,Class Low,Class Low
65,69,,iVRoad: Immersive virtual road crossing as an assessment tool for unilateral spatial neglect,"[""Virtual reality"","" Cognitive rehabilitation"","" Stroke""]",18,,,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,18,,,,,,,"""between-subject""","""each component""",Each Condition,"""Other""","[""After""]",No,[],"""""","""""",1,,,No,,06,21.8,12.72,10.72,3.78,49,4.36,3.18,2.68,3.78,3.5,-33,7,0.5,Yes,6.8,0.72,-1.28,0.78,1.36,0.18,-0.32,0.78,,5,"S Wagner, J Belger, F Joeres, A Thöne-Otto…",2021,Computers & …,Elsevier,https://www.sciencedirect.com/science/article/pii/S009784932100128X,"https://scholar.google.com/scholar?cites=6247802726895183778&as_sdt=2005&sciodt=0,5&hl=en",131,5/31/2023 16:55,HTML,,,,,,,,5,2.5,1,5,2,,,,,,,Class Moderate,Class High,Class Low,Class Moderate,Class Low
66,70,,Toward virtual stair walking,"[""Virtual reality"","" Locomotion"","" Visual gain""]",20,14,6,,,22.3,1.49,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Interaction techniques"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,20,14,6,,,22.3,1.49,"""within-subject""","""each component""",Each Condition Interaction,"""Chart""","[""After""]",No,"[""Friedman""]","""""","""""",1,,,Yes,,17,19.2,15.24,18.44,4.35,58.1,3.84,3.81,4.61,4.35,4.15,-33,2.1,0.15,Yes,-0.8,-0.76,2.44,0.35,-0.16,-0.19,0.61,0.35,,4,"MY Seo, HY Kang",2021,The Visual Computer,Springer,https://link.springer.com/article/10.1007/s00371-021-02179-2,"https://scholar.google.com/scholar?cites=16457991623996963406&as_sdt=2005&sciodt=0,5&hl=en",156,5/31/2023 16:55,HTML,10.1007/s00371-021-02179-2,,,,,,,4,2,2,2,2,,,,,,,Class Low,Class Low,Class Low,Class Very High,Class Low
