paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,score_scale,condition_name,element_name,is_interaction,participant_per_element,totalSP,totalINV,totalREAL,totalGP,totalTOTAL,meanSP,meanINV,meanREAL,meanGP,meanTOTAL,sdSP,sdINV,sdREAL,sdGP,sdTOTAL,otherSP,otherINV,otherREAL,otherGP,otherTOTAL,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display,likert_scale,rating_scale,file,class,class_num,class_sp,class_inv,class_real,class_gp
45,46,46,Cognitive processing and regulation modulates analogue trauma symptoms in a Virtual Reality paradigm,Stress; Cognitive processing; Emotional response; Cognitive regulation; Appraisals; Emotion regulation; Intrusive memories; Analogue trauma; Virtual Reality,80,17,63,,,21.73,2.32,3D Graphics - HMD VR,Stereo sound,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,80,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,,,,2,6,Whole Experiment,Whole Study,No,80,,,,,,4.2,4.09,4.03,4.49,,0.71,0.5,0.74,1.35,,,,,,,2,T. Schweizer; Fritz Renner; Dali Sun; Christian Becker-Asano & Brunna Tuschen-Caffier,2019,Cognitive Therapy and Research,Springer,https://link.springer.com/article/10.1007/s10608-018-9967-9,https://scholar.google.com/scholar?cites=10295130251723094259&as_sdt=2005&sciodt=0;5&hl=en,160,43628,HTML,,,,,,,,2,2,0,5,1,YES,Trauma,,14.479999,1.0342857,TRUE,6,4.36,4.12,1.49,1.2,1.09,1.03,1.49,3D Graphics - HMD VR,7-point,Good,Each Study,Class IV,4,Class V,Class IV,Class III,Class V
46,47,47,Optimized HMD System for Underwater VR Experience,Head-mounted display (HMD); Virtual reality; Wearable devices,6,6,0,18,22,,,3D Graphics - HMD VR,Unknown,Entertainment and game;Interaction techniques;Other,,Not Mentioned,Not Sure,,,1,Study 1,,6,,,,,,,within-subject,each component,/Mean/SD/,Other,Unknown,No,,,,2,6,Whole Experiment,Whole Study,No,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Hiroyuki Osone; Takatoshi Yoshida; Yoichi Ochiai,2017,International Conference on Advances in Computer Entertainment,Springer,https://link.springer.com/chapter/10.1007/978-3-319-76270-8_31,https://scholar.google.com/scholar?cites=12221140667045943805&as_sdt=2005&sciodt=0;5&hl=en,333,43676,,,,,,,,,4,2,1,3,,DUPLICATED,,,0.63,0.045,TRUE,0.175,0.43999997,0.2,-0.185,0.035,0.10999999,0.05,-0.185,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class VI,Class VI,Class IV,Class VI
48,49,49,Challenging gender differences in physical presence: Affective states; spatial abilities and presence in a relaxing virtual park,Physical Presence; Virtual Environment; Gender Difference; Spatial Ability,28,14,14,,,26.29/23.93,3.791/2.895,3D Graphics - HMD VR,Unknown,Social Science and psychology,Physical Presence,Not Mentioned,Not Sure,,,1,Study 1,5,28,14,14,,,,,between-subject,each component,/Mean//Other,Chart,Unknown,No,TTest,,,2,6,Whole Experiment,Whole Study,No,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Anna Felnhofer; Thomas Hetterle; Mareike Schmidt; Leon Beutl; Helmut Hlavacs; Ilse Kryspin-Exner; Oswald D. Kothgassner,2014,15th International Conference on Presence (ISPR 2014),researchgate.net,https://www.researchgate.net/profile/Anna_Felnhofer/publication/259632793_Challenging_gender_differences_in_physical_presence_Affective_states_spatial_abilities_and_presence_in_a_relaxing_virtual_park/links/00b4952cfaf0f131a3000000/Challenging-gender-differences-in-physical-presence-Affective-states-spatial-abilities-and-presence-in-a-relaxing-virtual-park.pdf,https://scholar.google.com/scholar?cites=12437203463310300111&as_sdt=2005&sciodt=0;5&hl=en,23,43628,PDF,,,,,,,,2,0.4,1,4,5,YES,Physical Presence,Unknown Scale,8.325,0.59464294,TRUE,2.9600003,5.585,-0.37999997,0.16,0.592,1.39625,-0.09499999,0.16,3D Graphics - HMD VR,7-point,Good,Each Study,Class V,5,Class VI,Class III,Class V,Class VI
49,50,50,Evaluation of FlowVR: a virtual reality game for improvement of depressive mood,virtual reality; depression; mood; therapy; flow,18,9,9,18,55,25.9,10.5,3D Graphics - Monoscopic;3D Graphics - HMD VR,No sound,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,5.83,18,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Shapiro-Wilk test; Wilcoxon-Mann-Whitney-Test; Friedman-Test,,,2,6,Whole Experiment,Whole Study,No,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Lukas Bittner; Fariba Mostajeran; Frank Steinicke; Jürgen Gallinat; Simone Kühn,2018,bioRxiv,biorxiv.org,https://www.biorxiv.org/content/10.1101/451245v1.abstract,https://scholar.google.com/scholar?cites=9197651944647077710&as_sdt=2005&sciodt=0;5&hl=en,85,43628,,,,,,,,,1,1,0,5,1,YES,Therapy,,-4.806667,-0.34333333,TRUE,-0.11666666,-0.25333333,-4.306667,-0.07333333,-0.023333333,-0.06333333,-1.0766667,-0.07333333,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class VI,Class VI,Class VI,Class VI
50,51,51,The Effect of Haptic Prediction Accuracy on Presence,,56,21,35,18,27,20.32,1.71,3D Graphics - HMD VR,Unknown,Social Science and psychology;Other,Haptic,Not Mentioned,Not Sure,,,1,Study 1,5.42,56,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,Shapiro-Wilk normality test,,,2,-33,Whole Experiment,Whole Study,No,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dominik Gall; Marc Erich Latoschik,2018,IEEE Conference on Virtual Reality and 3D User Interfaces (VR),ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8446153/,https://scholar.google.com/scholar?cites=17569544626198375561&as_sdt=2005&sciodt=0;5&hl=en,164,43628,,,,,,,,,1,1,1,2,1,YES,Haptic,,20.515,1.4653572,TRUE,9.975,5.54,5,0.66,1.995,1.385,1.25,0.66,3D Graphics - HMD VR,7-point,Good,Each Study,Class III,3,Class III,Class III,Class II,Class VI
51,52,52,How deep is your SNARC? Interactions between numerical magnitude; response hands; and reachability in peripersonal space,SNARC effect; theory of magnitude; embodied numerical cognition; virtual reality; motion capture,32,9-Jun,7-Oct,19/19,30/29,22.3/22.0,2.8/2.8,3D Graphics - HMD VR,Unknown,Education and training;Social Science and psychology,,Not Mentioned,Not Sure,,90-120,1,Study 1,,32,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,TTest;Pearson correlation,,,2,6,Whole Experiment,Whole Study,No,32,,,,,,4.18,2.51,2.3,,2.99,,,,,,0.13,0.2,0.14,,0.13,1,Johannes Lohmann; Philipp A. Schroeder; Hans-Christoph Nuerk; Christian Plewnia; and Martin V. Butz,2018,Frontiers in Psychology,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fpsyg.2018.00622/abstract,https://scholar.google.com/scholar?cites=11702033105816953080&as_sdt=2005&sciodt=0;5&hl=en,170,43628,,,,,,,,,1,1,0,4,1,YES,Learning,,-0.14,-0.01,TRUE,5.9,-1.96,-2.8,-1.28,1.18,-0.49,-0.7,-1.28,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class V,Class VI,Class VI,Class VI
52,53,53,Agency and Gender Influence Older Adults' Presence-Related Experiences in an Interactive Virtual Environment,virtual reality; older adults; presence; immersion; flow; gender,78,31,47,54,90,67.65,8.36,3D Graphics - HMD VR,Unknown,Social Science and psychology,,German,Not Sure,,,1,Study 1,6,78,19-Dec,27/20,,,,,between-subject,each component,/Mean/SD/,Chart,Unknown,No,ANOVA,,,4,6,Whole Experiment,Whole Study,No,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Oswald D. Kothgassner; Andreas Goreis; Johanna X. Kafka; Helmut Hlavacs; Leon Beutl; Ilse Kryspin-Exner; and Anna Felnhofer,2018,"Cyberpsychology, Behavior, and Social Networking",liebertpub.com,https://www.liebertpub.com/doi/abs/10.1089/cyber.2017.0691,https://scholar.google.com/scholar?cites=7010771530751205547&as_sdt=2005&sciodt=0;5&hl=en,181,43628,,,,,,,,,1,1,0,4,1,YES,Presence,Unknown Scale,19.66,1.4042857,TRUE,7.565,3.3075,7.385,1.4025,1.513,0.826875,1.84625,1.4025,3D Graphics - HMD VR,7-point,Good,Each Study,Class III,3,Class IV,Class IV,Class II,Class V
55,56,56,Obstacle Avoidance Method in Real Space for Virtual Reality Immersion,Virtual Reality; immersive feeling; walking assistance,17,16,1,22,25,,,3D Graphics - HMD VR,Unknown,Design and visualization;Interaction techniques,,Not Mentioned,Not Sure,,,1,Study 1,,17,,,,,,,within-subject,each component,/Mean//Other,Chart,After,No,Friedman-test; Wilcoxon signed rank,,,2,6,Whole Experiment,Whole Study,No,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Kohei Kanamori; Nobuchika Sakata; Tomu Tominaga; Yoshinori Hijikata; Kensuke Harada; Kiyoshi Kiyokawa,2018,IEEE International Symposium on Mixed and Augmented Reality (ISMAR),ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8613753/,https://scholar.google.com/scholar?cites=17339562296554789106&as_sdt=2005&sciodt=0;5&hl=en,285,43628,,,,,,,,,1,1,0,4,1,YES,Obstacle Avoidance,Mean(IQR),-0.18,-0.012857143,TRUE,4.45,-0.9,-3.73,1.145,0.89,-0.225,-0.9325,1.145,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class V,Class VI,Class VI,Class V
56,57,57,Heading computation in the human retrosplenial complex during full-body rotation,,20,9,11,20,46,30.25,7.68,3D Graphics - Monoscopic;3D Graphics - HMD VR,Unknown,Interaction techniques;Social Science and psychology,Spatial orientation,Not Mentioned,Not Sure,,,1,Study 1,,20,,,,,,,within-subject,each component,/Mean/SD/,Other,After;Unknown,No,,,,2,6,Whole Experiment,Whole Study,No,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Klaus Gramann; Friederike U. Hohlefeld; Lukas Gehrke; Marius Klug,2018,BioRxiv,biorxiv.org,https://www.biorxiv.org/content/10.1101/417972v1.abstract,https://scholar.google.com/scholar?cites=1668619713447027396&as_sdt=2005&sciodt=0;5&hl=en,286,43628,,,,,,,,,1,1,0,4,1,YES,,Preprint,-0.25,-0.017857144,TRUE,6.55,-1,-5.8,0.63,1.31,-0.25,-1.45,0.63,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class V,Class VI,Class VI,Class VI
57,58,58,Within-and between-session prefrontal cortex response to virtual reality exposure therapy for acrophobia,VRET; prefrontal cortex; fNIRS; phobia; virtual reality; anxiety,13,,,,,42.3,16.57,Projection Display,Unknown,Healthcare and clinical therapies;Social Science and psychology,Exposure Therapy,Not Mentioned,Not Sure,,,1,Study 1,50,13,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Correlation analysis,,,2,17,Whole Experiment,Whole Study,No,13,,,,,,5.29,3.96,3.96,5.38,4.43,0.93,1.27,1.28,0.96,1.02,,,,,,1,Aleksandra Landowska; David Roberts; Peter Eachus; and Alan Barrett,2018,Frontiers in Human Neuroscience,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6221970/,https://scholar.google.com/scholar?cites=10200413578083259654&as_sdt=2005&sciodt=0;5&hl=en,301,43628,HTML,,,,,,,,1,1,0,4,1,YES,Exposure Therapy,Unknown Scale,6.02,0.43,TRUE,6.45,-0.16,-0.16,1.38,1.2900001,-0.04,-0.04,1.38,Projection Display,7-point,Fair,Each Study,Class V,5,Class V,Class VI,Class V,Class V
59,60,60,Evaluating the Effects of Hand-gesture-based Interaction with Virtual Content in a 360 Movie,,32,,16,19,42,26.97,6.32,3D Graphics - HMD VR,Unknown,Design and visualization;Interaction techniques;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,32,,,,,,,within-subject,each component,/Mean//,Other,After,No,ANOVA,,,4,17,Whole Experiment,Whole Study,No,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Humayun Khan; Gun Lee; Simon Hoermann; Rory M. S. Clifford; Mark Billinghurst; Robert W. Lindeman,2017,Proceedings of the 27th International Conference on Artificial Reality and Telexistence and 22nd Eurographics Symposium on Virtual Environments,ir.canterbury.ac.nz,https://ir.canterbury.ac.nz/handle/10092/15215,https://scholar.google.com/scholar?cites=12814848117432532594&as_sdt=2005&sciodt=0;5&hl=en,229,43628,,,,,,,,,1,0.5,0,6,2,YES,Interaction,Unknown Scale,-2.625,-0.1875,TRUE,-1.4875,1.03,-1.94,0.6325,-0.2975,0.2575,-0.485,0.6325,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class VI,Class V,Class VI,Class VI
60,61,61,Presence; Behavioural Realism and Performances in Driving Simulation,virtual reality; driving simulation; presence; autonomous behaviour; user experience; performance evaluation,36,26,10,,,31,,3D Graphics - Monoscopic,Unknown,Education and training;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,36,,,,,,,within-subject,each component,/Mean//,Other,After,No,,,,2,-33,Whole Experiment,Whole Study,No,36,,,,,,1.344,0.257,0.097,1.111,,,,,,,,,,,,1,N Pallamin; C Bossard,2016,IFAC-PapersOnLine,Elsevier,https://www.sciencedirect.com/science/article/pii/S2405896316321917,https://scholar.google.com/scholar?cites=17926648975972794852&as_sdt=2005&sciodt=0;5&hl=en,39,43628,,,,,,,,,1,0.33,1,2,3,YES,Simulation,,8.136,0.58114284,TRUE,6.72,1.028,0.388,1.111,1.344,0.257,0.097,1.111,3D Graphics - Monoscopic,7-point,Good,Each Study,Class V,5,Class IV,Class V,Class IV,Class V
61,62,62,Head turn scaling below the threshold of perception in immersive virtual environments,presence; perception; head tracking manipulation; empirical study; virtual reality; immersive virtual environments,13,12,1,19,45,30.31,8.43,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,,German,Not Sure,,,1,Study 1,,13,,,,,,,within-subject,each component,/Mean/SD/,Other,Unknown,No,ANOVA;Shapiro-Wilk-Test; Bravais-Pearson-correlation,,,2,6,Whole Experiment,Whole Study,No,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Martin Westhoven; Dennis Paul; Thomas Alexander,2016,VRST '16: Proceedings of the 22nd ACM Conference on Virtual Reality Software and Technology,dl.acm.org,https://dl.acm.org/citation.cfm?id=2993385,https://scholar.google.com/scholar?cites=18088468939950426299&as_sdt=2005&sciodt=0;5&hl=en,75,43628,,,,,,,,,1,0.33,0,3,3,YES,Perception,,9.28,0.6628571,TRUE,7.4166665,1.2133334,-0.46666667,1.1033334,1.4833333,0.30333334,-0.11666667,1.1033334,3D Graphics - HMD VR,7-point,Good,Each Study,Class V,5,Class IV,Class V,Class V,Class V
63,64,64,Influence of hearing your steps and environmental sounds in VR while walking,Virtual Reality; Presence; Soundscape; Footsteps; IPQ; head-mounted display,40,11,29,18,34,22.95,4.44,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,,German,Not Sure,,,1,Study 1,,40,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,4,-33,Whole Experiment,Whole Study,No,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Angelika C. Kern; Wolfgang Ellermeier,2018,IEEE 4th VR Workshop on Sonic Interactions for Virtual Environments (SIVE),ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8577177/,,93,43628,,,,,,,,,0,0,0,2,1,YES,Presence,,-0.76666665,-0.054761905,TRUE,1.3,0.28,-2.3466666,0.75,0.26,0.07,-0.58666664,0.75,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class VI,Class VI,Class VI,Class VI
64,65,65,Physical Presence; Social Presence; and Anxiety in Participants with Social Anxiety Disorder During Virtual Cue Exposure,virtual reality exposure therapy; social anxiety disorder; physical presence; social presence; state anxiety; heart rate,24,,17,,,,,3D Graphics - HMD VR,Unknown,Healthcare and clinical therapies;Social Science and psychology,,German,Not Sure,,15,1,Study 1,5,24,,9-Aug,,,22.83/24.08,1.749/2.539,between-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,17,Whole Experiment,Whole Study,No,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anna Felnhofer; Helmut Hlavacs; Leon Beutl; Ilse Kryspin-Exner; and Oswald D. Kothgassner,2019,"Cyberpsychology, Behavior, and Social Networking",liebertpub.com,https://www.liebertpub.com/doi/abs/10.1089/cyber.2018.0221,,113,43628,,,,,,,,,0,0,0,4,1,YES,Exposure Therapy,,0.5,0.035714287,TRUE,1.9500002,1,-2.8,0.35,0.39,0.25,-0.7,0.35,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class VI,Class V,Class VI,Class VI
66,67,67,Visually Induced Motion Sickness in 360° Videos: Comparing and Combining Visual Optimization Techniques,VR sickness; cybersickness; 360º video; cinematic VR; field of view; content analysis; optical flow,12,6,6,23,47,29.9,6.76,3D Graphics - HMD VR,Unknown,Design and visualization;Social Science and psychology,Motion Sickness,Not Mentioned,Not Sure,,,1,Study 1,3.42,12,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,ANOVA;Pearson’s product-moment correlation,,,2,6,Whole Experiment,Whole Study,No,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paulo Bala; Dina Dionísio; Valentina Nisi; Nuno Nunes,2018,IEEE International Symposium on Mixed and Augmented Reality Adjunct (ISMAR-Adjunct),ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8699261/,,332,43676,,,,,,,,,0,0,0,4,,DUPLICATED,,,-0.3375,-0.024107143,TRUE,1.2125,0.35,-1.9,0.2075,0.2425,0.0875,-0.475,0.2075,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class VI,Class VI,Class VI,Class VI
68,69,69,A comparative study of virtual reality methods of interaction and locomotion based on presence; cybersickness and usability,Human-computer interaction; Virtual reality; Interaction Techniques; Virtual environment modeling,48,24,24,18,62,30.59,11.996,3D Graphics - HMD VR,Stereo sound,Interaction techniques;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,48,,,,,,,within-subject,each component,/Mean/SD/,Other,Unknown,No,Friedman’s test; Wilcoxon Signed-Ranks,,,2,6,Whole Experiment,Whole Study,No,48,,,,,,4.79,4.46,3.04,5.112,,0.85,1.13,0.996,1.04,,,,,,,0,Jesus Mayor; Laura Raya; Alberto Sanchez,2019,IEEE Transactions on Emerging Topics in Computing,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8708972/,,256,43628,,,,,,,,,0,0,0,3,1,YES,Interaction Techniques,,14.95,1.0678571,TRUE,8.95,5.84,0.16,2.112,1.79,1.46,0.04,2.112,3D Graphics - HMD VR,7-point,Good,Each Study,Class IV,4,Class IV,Class II,Class IV,Class II
70,71,71,Evaluating the Effects of Realistic Communication Disruptions in VR Training for Aerial Firefighting,Virtual Reality; Simulation; Radio communications; Emergency services; Aerial firefighting,25,22,3,,,,,3D Graphics - Monoscopic,Surround sound,Education and training,,Not Mentioned,Not Sure,,,1,Study 1,,25,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,17,Whole Experiment,Whole Study,No,25,,,,,,5.31,4.6,3.1,5.72,4.5,0.864,1.53,0.51,1.021,0.7,,,,,,0,Rory M.S. Clifford; Simon Hoermann; Nicolas Marcadet; Hamish Oliver; Mark Billinghurst; Robert W. Lindeman,2018,10th International Conference on Virtual Worlds and Games for Serious Applications (VS-Games),ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8493423/,,277,43628,,,,,,,,,0,0,0,4,1,YES,Training,,7,0.5,TRUE,6.55,2.4,-3.6,1.72,1.31,0.6,-0.9,1.72,3D Graphics - Monoscopic,7-point,Good,Each Study,Class V,5,Class V,Class V,Class VI,Class IV
71,72,72,Virtual Reality Conferencing,virtual reality; virtual reality conferencing; virtual collaboration,10,,,,,,,3D Graphics - HMD VR,Unknown,Interaction techniques;Other,,Not Mentioned,Not Sure,,,1,Study 1,,10,,,,,,,between-subject,each component,/Mean//,Other,After,No,ANOVA,,,2,6,Whole Experiment,Whole Study,No,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patrick David Pazour; Andreas Janecek; Helmut Hlavacs,2018,2018 IEEE International Conference on Artificial Intelligence and Virtual Reality (AIVR),ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8613638/,,296,43628,,,,,,,,,0,0,0,3,1,YES,Tele-conference,,12.6,0.9,TRUE,8.2,3.9,0.5,1,1.64,0.975,0.125,1,3D Graphics - HMD VR,7-point,Good,Each Study,Class IV,4,Class IV,Class IV,Class IV,Class V
72,73,73,Haptic contact in immersive 360o cinematic environment,,32,21,11,18,36,26.25,,3D Graphics - HMD VR,Unknown,Design and visualization;Other,Haptic,Not Mentioned,Not Sure,,,1,Study 1,,32,,,,,,,within-subject,each component,TotalScore//SD/,Other,After,No,ANOVA,,,2,6,Whole Experiment,Whole Study,No,32,22.03,15.84,12.75,,55.25,,,,,,5.84,5.88,4.51,,14.43,,,,,,0,Prasanth Sasikumar,2018,University of Canterbury: Theses and Dissertations,ir.canterbury.ac.nz,https://ir.canterbury.ac.nz/handle/10092/15156,,299,43628,,,,,,,,,0,0,0,1,1,YES,Haptic,,13.25,0.9464286,TRUE,7.03,3.84,0.75,1.63,1.406,0.96,0.1875,1.63,3D Graphics - HMD VR,7-point,Good,Each Study,Class IV,4,Class IV,Class IV,Class IV,Class IV
73,74,74,Comfortable Immersive Analytics with the VirtualDesk Metaphor: Case Studies and Perspectives,,44,,,,,,,3D Graphics - HMD VR,Unknown,Design and visualization;Social Science and psychology,Immersive,Not Mentioned,Not Sure,,,1,Study 1,25,44,,,,,,,between-subject,each component,/Mean/SD/,Chart,Unknown,No,,,,2,17,Whole Experiment,Whole Study,No,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jorge A. Wagner Filho; Carla M. D. S. Freitas; Luciana Nedel,2019,IEEE Computer Graphics and Applications,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8640072/,,308,43628,,,,,,,,,0,0,0,3,1,YES,Immersion,,-1.16,-0.08285714,TRUE,3,-0.52,-3.64,0.64,0.6,-0.13,-0.91,0.64,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class VI,Class VI,Class VI,Class VI
75,76,76,ReflectiveSpineVR: an immersive spine surgery simulation with interaction history capabilities,Immersive Simulation; Spine Surgery; Interaction History; Education,6,5,1,,,,,3D Graphics - HMD VR,Unknown,Design and visualization;Education and training;Healthcare and clinical therapies,,Not Mentioned,Not Sure,,,1,Study 1,,6,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,,,,2,17,Whole Experiment,Whole Study,No,6,,,,,64,6,4.1,3.41,6,,1,1,0.97,1,4.7,,,,,,0,Ahmed E Mostafa; Won Hyung A. Ryu; Kazuki Takashima; Sonny Chan; Mario Costa Sousa; Ehud Sharlin,2017,SUI '17: Proceedings of the 5th Symposium on Spatial User Interaction,dl.acm.org,https://dl.acm.org/citation.cfm?id=3132174,,315,43628,,,,,,,,,0,0,0,5,2,YES,Simulation,,8,0.5714286,TRUE,10,0.4,-2.36,2,2,0.1,-0.59,2,3D Graphics - HMD VR,7-point,Good,Each Study,Class V,5,Class III,Class VI,Class VI,Class III
77,78,78,The Influence of Visual Realism on the Sense of Presence in Virtual Environments,,52,32,20,18,48,22.81,5.94,3D Graphics - HMD VR,Unknown,Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,52,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,ANOVA;Pearson correlations,,,4,17,Whole Experiment,Whole Study,No,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y.G. Toczek,2016,Eidhoven University of Technology Thesis,research.tue.nl,https://research.tue.nl/files/46946153/855787-1.pdf,,169,43628,PDF,,,,,,,,0,0,0,1,3,YES,Presence,Unknown Scale,-6.125,-0.4375,TRUE,0.775,0.03,-7.04,0.22,0.155,0.0075,-1.76,0.22,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class VI,Class VI,Class VI,Class VI
78,79,79,Evaluating presence perception in video-mediated activities in real time,Presence Perception; Gaze Tracking; Evaluate; Video; Education,22,,,,,,,Other,Stereo sound,Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,22,,,,,,,between-subject,each component,/Mean//,Other,Unknown,No,TTest,,,2,-33,Whole Experiment,Whole Study,No,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fernando Y. Obana; Romero Tori and Edith Ranzini,2015,"Proceedings of the International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government (EEE)",search.proquest.com,http://search.proquest.com/openview/ec0d4e6d828f7569bfcd0b7f995ac43d/1?pq-origsite=gscholar&cbl=1976356,,121,43628,HTML,,,,,,,,0,0,0,3,4,YES,Perception,Unknown Scale,24.714998,1.7653571,TRUE,9.575,7.24,7.9,1.5850002,1.9149998,1.81,1.975,1.5850002,3D Graphics - Monoscopic,7-point,Excellent,Each Study,Class II,2,Class III,Class I,Class I,Class IV
79,80,80,The Experience of Exposure Across Racial Groups: Differences in Presence During Virtual Reality Exposure Therapy for Social Phobia Across African,Exposure therapy; Virtual Reality Exposure; Experience of treatment; African American; Women,24,,24,21,60,39.96,10.89,3D Graphics - HMD VR,Unknown,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,24,,15-Sep,,,,,between-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,17,Whole Experiment,Whole Study,No,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natasha Mehta,2012,Georgia State University Thesis,scholarworks.gsu.edu,https://scholarworks.gsu.edu/cgi/viewcontent.cgi?article=1102&context=psych_theses,,123,43628,PDF,,,,,,,,0,0,0,1,7,YES,Exposure Therapy,Not Clear Number Of Participants,3.055,0.21821429,TRUE,0.595,1.4699999,-0.054999996,1.045,0.118999995,0.36749998,-0.013749999,1.045,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class VI,Class V,Class V,Class V
